,clusterName,clusterSize,f_score,precision,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,uuid
0,AII_2,414,0.0346364385,0.02798982188,1765183,9932,128,286,2,"['SLC12A7', 'SAMSN1']","['SLC12A7', 'NETO1', 'IGSF21', 'GABRA5', 'SAMSN1', 'DGKB', 'SLC24A4', 'CACNA2D4', 'GRIK1', 'OTX2-AS1']",ezegqdbuqzfo
1,CAI,141,0.8153477218,0.9855072464,1775387,1,73,68,3,"['MIR548XHG', 'ENSG00000262801.6', 'GCH1']","['ENSG00000270321.2', 'FGF10', 'MIR548XHG', 'ENSG00000262801.6', 'VWA5B1', 'GCH1', 'FGF10-AS1', 'MIR137HG', 'TH', 'ITIH5']",hlfq39hn4vgh
2,HAC1,36104,0.8214513811,0.923280542,1737715,1710,15525,20579,2,"['TSHZ2', 'TMEM132D']","['ENSG00000271774.1', 'AK5', 'LAMP5', 'TSHZ2', 'TMEM132D', 'CHRM2', 'GABRG3', 'CHRM3', 'KALRN', 'SYN2']",1tgsq2gf2utk
3,HAC12,8458,0.626478207,0.9569892473,1766971,100,6233,2225,2,"['FREM1', 'NELL1']","['FREM1', 'ALDH1A2', 'NFIX', 'TBX3', 'NELL1', 'ZNF423', 'ENSG00000271774.1', 'NFIB', 'IQCA1', 'TSHZ2']",330b3ic2vcls
4,HAC14,7519,0.616945776,0.9279026217,1767856,154,5537,1982,3,"['BCL11A', 'CDH6', 'NFIB']","['DKK2', 'FREM1', 'NFIX', 'BCL11A', 'CDH6', 'NFIB', 'RHOBTB3', 'KCND3', 'RMST', 'ST6GALNAC3']",9jwicly0k3to
5,HAC11,11096,0.7391704776,0.9131031777,1763990,443,6441,4655,2,"['NTN1', 'LMF1']","['CHEK1', 'PDGFD', 'NTN1', 'LMF1', 'GALNT14', 'CEROX1', 'CPAMD8', 'PCDH11X', 'UTRN', 'VPS41']",hp985qc4yezy
6,AII_1,34655,0.869010718,0.9829002675,1740516,358,14077,20578,2,"['SLC12A7', 'OTOGL']","['CLCNKA', 'GLCE', 'SLC12A7', 'OTOGL', 'CDHR3', 'SYNDIG1', 'CACNG5', 'ENSG00000228222.1', 'NFIA', 'PLCL1']",2x26lfpcbg2h
7,Cone3,4692,0.9014367816,0.9874095058,1770797,40,1555,3137,2,"['OPN1SW', 'LEMD1']","['OPN1SW', 'LY75', 'RAB17', 'SLC12A1', 'UPB1', 'LEMD1', 'SAG', 'CCDC136', 'SLC29A4', 'ENSG00000227681.5']",6aec9ajjj4c5
8,HAC13,7831,0.7427758426,0.9649458254,1767588,110,4803,3028,2,"['IL1RAPL2', 'CDH13']","['LINC01036', 'LINC01320', 'FGD5', 'IL1RAPL2', 'CDH13', 'RPH3A', 'ARHGAP24', 'RASGRF2', 'RGS6', 'NCAM2']",na6wdsix7639
9,CAII,1442,0.7366684992,0.9763205829,1774074,13,906,536,2,"['SEMA3C', 'ARPP21']","['TAC1', 'COL21A1', 'EYA1', 'TH', 'SEMA3C', 'ARPP21', 'ENSG00000225811.1', 'ADAMTS20', 'DOCK8', 'GPC5']",mdsntj7mms6q
10,HAC15,7393,0.7322423551,0.867012987,1767624,512,4055,3338,2,"['LINC02267', 'THSD7B']","['LINC02267', 'RRBP1', 'CNIH3', 'TSHZ2', 'TRHDE', 'THSD7B', 'GALNT18', 'SGCZ', 'MGAT4C', 'KCND2']",eu6ksfldhreb
11,HAC16,6936,0.5740973971,0.8923327896,1768395,198,5295,1641,3,"['NDST4', 'PAPPA2', 'AQP4-AS1']","['NDST4', 'LTBP1', 'PCDH17', 'PAPPA2', 'CHST9', 'AQP4-AS1', 'ENSG00000249806.1', 'ARHGAP24', 'RGS6', 'PALLD']",f06dpswkmgy4
12,HAC18,5481,0.7788478273,0.9135760463,1769794,254,2796,2685,2,"['PKD2L1', 'CIBAR1-DT']","['NKAIN4', 'ATF5', 'PKD2L1', 'GABRA1', 'SHISA9', 'CIBAR1-DT', 'SEMA3E', 'RGS6', 'GABRB2', 'SLC24A3']",qfo67gkjw2o3
13,Astrocyte,5488,0.8257398051,0.8779376499,1769532,509,1827,3661,1,['TNC'],"['TNC', 'ENSG00000243620.2', 'PAX5', 'DGKG', 'DELEC1', 'GYPC', 'PAX2', 'PAX8', 'ATP1A2', 'MGST1']",3h719rrulweb
