,clusterName,clusterSize,f_score,precision,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,uuid
14,Cone2,14139,0.712930924,0.8945168033,1760734,656,8576,5563,2,"['NPSR1-AS1', 'SLC9C2']","['NPSR1-AS1', 'PCAT4', 'POU2AF1', 'SLC9C2', 'ADGB', 'ANTXR2', 'RND3', 'CNGB3', 'CC2D2A', 'THSD7B']",kbrwsie51ow8
15,HAC22,4110,0.6701030928,0.9444032617,1771344,75,2836,1274,3,"['ADAMTS9-AS2', 'KCNQ5', 'NDST3']","['VIPR2', 'CBLN2', 'ADAMTS9-AS2', 'MAN1A1', 'KCNQ5', 'NDST3', 'ERBB4', 'MGAT4C', 'PPFIBP1', 'LDB2']",3zrrd5zkm9a3
16,HAC19,4864,0.5777665317,0.7837528604,1770287,378,3494,1370,3,"['NELL1', 'SYT10', 'ENSG00000227681.5']","['XACT', 'HTR2C', 'NELL1', 'SYT10', 'CBLN2', 'ENSG00000227681.5', 'PTPN13', 'NCAM2', 'DACH2', 'CACNA1E']",5djub9jyc4yx
17,HAC24,3927,0.6074710586,0.9146451033,1771507,95,2909,1018,2,"['LINC02055', 'GLRA3']","['LINC02055', 'ENSG00000271860.9', 'GLRA3', 'IQCA1', 'GFRA1', 'LRP2', 'FRMPD4', 'CALN1', 'CNTN3', 'AKAP13']",i44f7tktj8ll
18,HAC23,4076,0.8339665653,0.9665345663,1771377,76,1881,2195,2,"['RNF220', 'ADAMTS9-AS2']","['ADAMTS9-AS1', 'RNF220', 'CCBE1', 'ADAMTS9-AS2', 'LRP2', 'SORCS3', 'CCDC144A', 'PTPRM', 'POU6F2', 'SLIT2']",3bjju2gip6jo
19,HAC21,4122,0.6886562309,0.9482155353,1771333,74,2767,1355,2,"['CARTPT', 'ENSG00000231252.4']","['NRGN', 'CARTPT', 'ARHGAP20', 'ENSG00000231252.4', 'VSTM2B', 'SCG2', 'NFIA-AS2', 'RMST', 'SV2C', 'NFIA']",vy09j01zc5jr
20,HAC20,4326,0.6461362522,0.7993936331,1770806,397,2744,1582,2,"['SLC22A3', 'MYO16']","['SLC22A3', 'ADAMTSL1', 'MYO16', 'LINC01933', 'BICC1', 'RPH3A', 'RGS6', 'KCND2', 'CDH7', 'FILIP1L']",97xordpjwowd
21,HAC33,2924,0.6987150069,0.841160221,1772375,230,1706,1218,2,"['LINC03000', 'ARHGAP18']","['ENSG00000226149.6', 'ENSG00000253693.1', 'LINC03000', 'NPHS1', 'ITGA11', 'ARHGAP18', 'EBF3', 'ST18', 'CDH8', 'MGAT4C']",mj0nfyaflwlq
22,HAC25,3900,0.6819376314,0.8286322512,1771307,322,2343,1557,3,"['NPY', 'ENSG00000225811.1', 'ADAMTS9-AS2']","['NPY', 'ANKFN1', 'ENSG00000225811.1', 'ADAMTS9-AS2', 'BRINP3', 'MED12L', 'ZNF804B', 'GALNTL6', 'ERBB4', 'CACNA1E']",a393a2i5uoh7
23,HAC31,2952,0.7771260997,0.9724770642,1772541,36,1680,1272,2,"['SHISA9', 'SGCZ']","['THBS2', 'TRPC6', 'SHISA9', 'CIBAR1-DT', 'GLRA3', 'SGCZ', 'CDH6', 'TRHDE', 'NFIA-AS2', 'CNTN3']",8z1d2w6bfhhm
24,HAC30,3036,0.6316581751,0.7792857143,1772184,309,1945,1091,4,"['MYO10', 'CHST9', 'PHACTR2', 'LRP2']","['SYT17', 'MYO10', 'CHST9', 'PHACTR2', 'LRP2', 'MYOM1', 'NTNG1', 'SGCD', 'PBX3', 'PTPRT']",ekblrzhyj3zz
25,HAC36,2408,0.704899416,0.9254526092,1773051,70,1539,869,3,"['CNTNAP3B', 'C5orf64', 'TMEM132D']","['CNTNAP3B', 'SYT10', 'C5orf64', 'GHR', 'TMEM132D', 'GRM1', 'BRINP1', 'PPFIBP1', 'FILIP1L', 'ADARB2']",k7rrcci6ph4y
26,HAC32,2942,0.6518957897,0.7927864215,1772294,293,1821,1121,3,"['GBX2-AS1', 'COL25A1', 'FOXP2']","['DAPL1', 'STK32B', 'ASB18', 'GBX2-AS1', 'COL25A1', 'FOXP2', 'SORCS3', 'NKAIN2', 'PALLD', 'RELN']",orli4adw3d9f
27,HAC34,2896,0.6395221394,0.7495183044,1772243,390,1729,1167,3,"['LTBP1', 'CCBE1', 'GALNTL6']","['HTR2C', 'LTBP1', 'CCBE1', 'LINC01090', 'GALNTL6', 'ELAVL2', 'PCDH11X', 'ERBB4', 'PPFIBP1', 'SGCD']",oqnlbu27cydx
28,Cone1,50237,0.8649152454,0.8387451007,1715747,9545,590,49647,1,['LINC02997'],"['LINC02997', 'ENSG00000250421.5', 'LINC02242', 'ENSG00000250978.5', 'MIR3976HG', 'ENSG00000236283.5', 'GRK7', 'ENSG00000260042.1', 'GUCA1C', 'ARR3']",1okk8ew50l3k
29,HAC35,2641,0.6368273819,0.9010477299,1772803,85,1867,774,3,"['COL24A1', 'STXBP6', 'NR2F2-AS1']","['COL24A1', 'IL1RAPL2', 'STXBP6', 'THSD4', 'GFRA1', 'NR2F2-AS1', 'PCDH11X', 'DGKH', 'GRIK1', 'HS6ST3']",rtw42afsyf3d
30,HAC29,3143,0.6218934227,0.7814088598,1772085,301,2067,1076,3,"['C12orf75', 'SYT10', 'RAPGEF5']","['C12orf75', 'LCNL1', 'LINC01933', 'SYT10', 'RAPGEF5', 'ITGA9', 'CACHD1', 'MED12L', 'CNTNAP4', 'PCDH15']",th6eq5h0wmw8
31,HAC38,2096,0.6420196672,0.850877193,1773314,119,1417,679,2,"['CPAMD8', 'ADAMTS9-AS2']","['SEMA3D', 'ENSG00000253642.6', 'CPAMD8', 'SHISA9', 'PTH2R', 'ADAMTS9-AS2', 'LRP2', 'MAN1A1', 'ATP8B4', 'TMEM132D']",q1zsjgb5xi1t
32,HAC3,29428,0.6792250446,0.754004215,1741432,4669,15117,14311,2,"['C5orf64', 'DOCK2']","['ENSG00000255132.1', 'HDC', 'ACTN2', 'C5orf64', 'DOCK2', 'CRHR2', 'THSD4', 'FILIP1L', 'OLFM3', 'CMSS1']",rye3mai2utib
33,HAC43,1506,0.5992118683,0.7364672365,1773838,185,989,517,3,"['CDH13', 'PCSK5', 'CALN1']","['CDH13', 'PHACTR2', 'DOCK2', 'PCSK5', 'RMST', 'CALN1', 'ERBB4', 'ADCY2', 'ADARB2', 'MARCHF3']",p5jll1d28ig7
34,HAC41,1717,0.6907333712,0.8191011236,1773651,161,988,729,2,"['LINC03000', 'PRDM8']","['ENSG00000253693.1', 'LINC03000', 'OTOGL', 'EBF3', 'PRDM8', 'NCAM2', 'ENSG00000228222.1', 'SLC2A13', 'LRRTM4', 'CNTN5']",8gp478aiu4gg
35,HAC37,2219,0.7868778957,0.9418604651,1773245,65,1166,1053,2,"['NELL1', 'GPC5']","['EOMES', 'GPC5-AS2', 'NELL1', 'GBX2-AS1', 'CCBE1', 'GPC5', 'SLIT1', 'SORCS3', 'CDH6', 'SLC44A5']",me9pcx2k56t7
36,HAC40,1739,0.6158927531,0.7441314554,1773572,218,1105,634,3,"['LRIG3', 'TSHZ2', 'SORCS3']","['LRIG3', 'MAF', 'ENSG00000271774.1', 'SCN9A', 'TSHZ2', 'SORCS3', 'PTPN13', 'DACH2', 'CNTN5', 'BRINP1']",wvwdbwfccixw
37,HAC44,1453,0.6470028544,0.96,1774059,17,1045,408,3,"['MYO16', 'PDGFRA', 'SGCZ']","['DCN', 'BMAL2', 'GRB14', 'MYO16', 'PDGFRA', 'SGCZ', 'CNTN3', 'RBMS3', 'PCDH11X', 'PTPRT']",k181e1jx4bsq
38,HAC48,1160,0.6322075783,0.9684542587,1774359,10,853,307,3,"['SCGN', 'SMOC2', 'NXPH1']","['SCGN', 'DEPTOR', 'SMOC2', 'NXPH1', 'CSGALNACT1', 'SGCZ', 'BRINP3', 'CHRM2', 'LRRTM4', 'DCC']",85fvgr9ab376
39,HAC4,27247,0.7450550678,0.9618850243,1747859,423,16572,10675,2,"['TSPAN18', 'PDGFRA']","['MYO18B', 'IGFBP3', 'TSPAN18', 'PDGFRA', 'LNX1', 'KLF3-AS1', 'SLC1A2', 'THSD4', 'SPOCK1', 'DOK5']",j4m0a72mzjuu
40,HAC47,1183,0.7692307692,0.983805668,1774338,8,697,486,3,"['ADAMTS3', 'NCAM2', 'SGCD']","['OPRM1', 'ADAMTS3', 'NKAIN3', 'SCG2', 'NCAM2', 'SGCD', 'VSNL1', 'RBMS3', 'SGCZ', 'GALNTL6']",n8egzu7dh0v2
41,HAC49,1109,0.3669370413,0.5135135135,1774240,180,919,190,3,"['TCERG1L', 'TSPAN9', 'SORCS2']","['ENSG00000270087.7', 'C5orf64', 'THSD4', 'TCERG1L', 'TSPAN9', 'SORCS2', 'RAP1GAP', 'ANK1', 'CTIF', 'TSPAN5']",hpvbjl9xmyv9
42,HAC50,1012,0.5692379182,0.8596491228,1774477,40,767,245,2,"['CIBAR1-DT', 'EPHA3']","['LINC00616', 'GRB14', 'CIBAR1-DT', 'GLRA3', 'SHISA6', 'EPHA3', 'DGKB', 'ZNF521', 'LUZP2', 'KIAA1217']",1xr9zxw1k1q4
43,HAC53,697,0.2970054001,0.3611940299,1774618,214,576,121,2,"['RNF220', 'CPAMD8']","['RNF220', 'PLCXD3', 'CPAMD8', 'PDZRN4', 'L3MBTL4', 'DACH2', 'PCDH11X', 'DLGAP2', 'ST6GALNAC5', 'ZNF536']",4az9a085pyqs
44,HAC51,899,0.7790651219,0.9725685786,1774619,11,509,390,3,"['MYO16', 'COL12A1', 'DOCK2']","['CYP2E1', 'LGR5', 'SDK2', 'MYO16', 'COL12A1', 'DOCK2', 'TNR', 'CSGALNACT1', 'TMEM132D', 'RGS6']",x3rg1a8urhpk
45,HAC42,1692,0.7320717131,0.8834134615,1773740,97,957,735,3,"['PRLR', 'GDNF-AS1', 'SEMA5B']","['PRLR', 'HTR4', 'COL21A1', 'ENPP1', 'GDNF-AS1', 'SEMA5B', 'PLCXD3', 'ADAMTS20', 'ANOS1', 'DOCK2']",t38o9huowe1y
46,HAC59,458,0.6131078224,0.9508196721,1775065,6,342,116,3,"['CADPS2', 'BNC2', 'CIBAR1-DT']","['DOCK1', 'CADPS2', 'COL24A1', 'BNC2', 'SHISA9', 'CIBAR1-DT', 'RIT2', 'LRP2', 'TRHDE', 'CNTNAP4']",ccs847v6pknd
47,HAC54,670,0.5661040788,0.8563829787,1774832,27,509,161,4,"['LINC03000', 'NXPH2', 'NETO1', 'SAMSN1']","['LINC03000', 'NXPH2', 'TRPM1', 'CRYBG3', 'NETO1', 'SAMSN1', 'GABRG3', 'SLC24A4', 'GRIK1', 'OTX2-AS1']",ltl52s5vcak1
48,HAC57,513,0.4623450906,0.723880597,1774979,37,416,97,2,"['RNF220', 'XYLT1']","['ENSG00000270087.7', 'LYPD6', 'RNF220', 'SDK1', 'XYLT1', 'TFAP2B', 'KIRREL3', 'DPP10', 'CTBP2', 'KCNQ1OT1']",x0qdqrtpubli
49,HAC5,26167,0.8283897046,0.9619659005,1748811,551,12231,13936,3,"['DYNLRB2-AS1', 'GULP1', 'FRAS1']","['DYNLRB2-AS1', 'LINC01170', 'MAF', 'LINC00871', 'GULP1', 'FRAS1', 'PEX5L', 'INPP4B', 'CNTNAP4', 'PCDH7']",q607pd3vu14u
50,HAC56,569,0.534591195,0.875,1774943,17,450,119,4,"['EYA4', 'PDGFRA', 'NETO1', 'SAMSN1']","['EYA4', 'PDGFRA', 'KLF3-AS1', 'NETO1', 'SAMSN1', 'SLC24A4', 'GRIK1', 'PTPRM', 'KLHL5', 'OTX2-AS1']",64b048cvfnf6
51,HAC58,470,0.6611893584,0.8366336634,1775026,33,301,169,4,"['HDC', 'NETO1', 'FILIP1L', 'DGKB']","['HDC', 'NETO1', 'GABRA5', 'FILIP1L', 'DGKB', 'SAMSN1', 'GRIK1', 'LRRC4C', 'OTX2-AS1', 'FAM135B']",4s8jf9ey9b54
52,HAC52,894,0.6621243885,0.7703252033,1774522,113,515,379,4,"['CHST9', 'ENSG00000271774.1', 'FRAS1', 'TSHZ2']","['CHST9', 'AQP4-AS1', 'PLD5', 'ENSG00000271774.1', 'FRAS1', 'TSHZ2', 'THSD4', 'PCSK2', 'ERBB4', 'SGCD']",b6ncf6we7du0
53,HAC55,662,0.533428165,0.8064516129,1774831,36,512,150,3,"['TRPC4', 'PKN2-AS1', 'ENSG00000271860.9']","['POU3F3', 'TRPC4', 'PKN2-AS1', 'ENSG00000271860.9', 'ANKRD29', 'TSHZ1', 'CDH13', 'FRMD4B', 'LAMA3', 'RMST']",w1q1tl4l35o0
54,HAC63,391,0.6624605678,0.9,1775124,14,265,126,3,"['ENSG00000225649.7', 'SDC2', 'ADAMTS9-AS2']","['ENSG00000225649.7', 'SDC2', 'ADRA1A', 'CALB2', 'ADAMTS9-AS2', 'CDH6', 'FOXP2', 'KCNQ5', 'GABRG3', 'GRIK1']",chsmz1j19m5q
55,HAC65,352,0.1973684211,0.1856287425,1774769,408,259,93,3,"['DYNLRB2-AS1', 'SAMSN1', 'GRIK1']","['DYNLRB2-AS1', 'CRYBG3', 'NETO1', 'IGSF21', 'SAMSN1', 'GRIK1', 'ZPBP', 'OTX2-AS1', 'CDH20', 'CA10']",22bqndxiw6bq
56,HAC64,374,0.05842314237,0.04775150672,1771047,4108,168,206,2,"['NPY', 'LCNL1']","['NPY', 'PDE6A', 'SAG', 'LCNL1', 'CNGB1', 'EYS', 'ANO2', 'DISC1', 'ABCA4', 'ENSG00000258776.1']",p791u1dyrp4v
57,HAC69,195,0.2503576538,0.2777777778,1775243,91,160,35,3,"['SEZ6L', 'PPFIBP1', 'LDLRAD4']","['CCBE1', 'FRAS1', 'SEZ6L', 'PPFIBP1', 'GALNTL6', 'LDLRAD4', 'ADARB2', 'CUX2', 'PKD1', 'CNTN5']",in5gjqvkehki
58,HAC61,429,0.003357493197,0.002688702748,1669015,106085,143,286,2,"['HKDC1', 'TRDN']","['HKDC1', 'TF', 'TRDN', 'WIF1', 'SLC1A3', 'FOXP2', 'SLCO5A1', 'ABTB3', 'CACNG5', 'ST6GALNAC5']",8gerl7b6285z
59,HAC66,291,0.0284629981,0.05084745763,1775182,56,288,3,2,"['ENSG00000257165.5', 'CARTPT']","['ENSG00000257165.5', 'PDE6A', 'SAG', 'CARTPT', 'PPEF2', 'CNGB1', 'ANO2', 'EYS', 'DISC1', 'ABCA4']",qlq87bud3e8r
60,HAC74,34,0.01631701632,0.01315789474,1774445,1050,20,14,4,"['MCHR2-AS1', 'ENSG00000253693.1', 'LINC03000', 'ENSG00000226149.6']","['MCHR2-AS1', 'ENSG00000253693.1', 'LINC03000', 'ENSG00000226149.6', 'ARHGAP18', 'EBF3', 'NXPH2', 'ENSG00000271774.1', 'ENSG00000255028.5', 'CHRM2']",fh1a0ol4im3r
61,HAC70,195,0.5270655271,0.9487179487,1775332,2,158,37,3,"['LINC01899', 'IGFBP3', 'ADAMTS9-AS2']","['LINC01541', 'LINC01899', 'IGFBP3', 'CLNK', 'ADAMTS9-AS1', 'ADAMTS9-AS2', 'KLF3-AS1', 'TBX2', 'PTCHD1-AS', 'CSMD3']",ye0hobin5kmw
62,HAC68,218,0.3079178886,0.3620689655,1775237,74,176,42,2,"['SEMA5B', 'RAB31']","['GDNF-AS1', 'KCNG3', 'SEMA5B', 'VSTM2B-DT', 'PLCXD3', 'RAB31', 'ST6GALNAC5', 'KLHL29', 'TRANK1', 'LINC00342']",mbuzl80j4whe
63,HAC73,141,0.09955423477,0.08312655087,1774649,739,74,67,3,"['CPAMD8', 'CRYBG3', 'SAMSN1']","['CPAMD8', 'CRYBG3', 'NETO1', 'GABRA5', 'IGSF21', 'SAMSN1', 'SLC24A4', 'OTX2', 'GRIK1', 'CDH20']",50i9dxwm9dy1
64,HAC7,18363,0.7457028613,0.87454324,1755930,1236,9747,8616,3,"['EYA4', 'GLRA3', 'BRINP3']","['ENSG00000251488.1', 'FNDC1', 'EYA4', 'PCDH10', 'GLRA3', 'BRINP3', 'CNTN3', 'NFIA', 'KLHL5', 'PTPRM']",9oglie5exvzo
65,HAC8,17074,0.7175205208,0.8766209707,1757456,999,9976,7098,2,"['MAF', 'DACH2']","['DSP', 'ENSG00000253503.6', 'LINC01170', 'MAF', 'DACH2', 'PTPN13', 'CACNA1E', 'MAN1A1', 'PCDH7', 'CCDC171']",ue1rnq7br20g
66,HRGC13,216,0.1762820513,0.4583333333,1775300,13,205,11,2,"['KNDC1', 'C4orf50']","['MYO18A', 'KNDC1', 'C4orf50', 'SPTB', 'MIR34AHG', 'NEFM', 'KCNAB2', 'CDH4', 'GALNTL6', 'SDK1']",fc2dy57yho9n
67,HRGC15,33,0.4347826087,0.6666666667,1775493,3,27,6,3,"['LINC01250', 'ARPP21', 'COL4A2']","['MIR4435-2HG', 'LINC01250', 'ARPP21', 'COL4A2', 'RBM20', 'ADRA1A', 'PPP2R2C', 'GSE1', 'TNR', 'CDH8']",3npjez3wm5bn
68,HAC9,13741,0.8308094855,0.9271180595,1761154,634,5676,8065,2,"['RNF220', 'HDC']","['ACTN2', 'RNF220', 'HDC', 'CARTPT', 'DOCK2', 'THSD4', 'CDH8', 'OLFM3', 'LRRC4C', 'SDK1']",cxz99mmsvi1h
69,HRGC14,124,0.2485380117,0.2428571429,1775299,106,90,34,4,"['AIM2', 'GALNT14', 'PLD5', 'USH2A']","['MGAT5B', 'AIM2', 'C8orf34', 'GALNT14', 'PLD5', 'USH2A', 'SORCS3', 'KCNQ5', 'PTCHD4', 'PRKG1']",yrfbkmfcp8ts
70,HRGC11,393,0.3506243996,0.450617284,1775047,89,320,73,3,"['FOXP2', 'ENSG00000275443.2', 'RBM20']","['KCNH8', 'SATB2', 'FOXP2', 'ENSG00000275443.2', 'RBM20', 'ENSG00000271774.1', 'CHSY3', 'KCNIP1', 'TSHZ2', 'RGS6']",kbkme1fuim7a
71,HRGC12,333,0.4214876033,0.75,1775179,17,282,51,3,"['ENSG00000226149.6', 'ARHGAP18', 'KCNQ5']","['ENSG00000226149.6', 'KCNH8', 'ARHGAP18', 'NCALD', 'RELN', 'KCNQ5', 'GABRG3-AS1', 'SRGAP1', 'KCNIP1', 'SORCS3']",z7yeadi3fkp0
72,HC1,4676,0.6477673325,0.9559248555,1770792,61,3353,1323,2,"['TPM3', 'PCDH11Y']","['C7_ENSG00000112936', 'TMOD1', 'TPM3', 'PCDH11Y', 'CALB1', 'CDH13', 'FAM135A', 'THSD7B', 'NAALAD2', 'PCDH11X']",liwt6q4eixw2
73,HRGC4,2835,0.4060301508,0.7551401869,1772563,131,2431,404,2,"['AHNAK2', 'AKAP12']","['PCNT', 'AHNAK2', 'TRPM2', 'SYNE2', 'AKAP12', 'MROH1', 'SYT7', 'TRANK1', 'LINC00342', 'PRKG1']",396j55b1uxn8
74,HC0,19505,0.8152298395,0.9936647697,1755965,59,10251,9254,2,"['ADAMTS17', 'ENSG00000259203.4']","['CMYA5', 'LHX1', 'LINC02249', 'ADAMTS17', 'MEGF11', 'ENSG00000259203.4', 'ONECUT3', 'ONECUT2', 'SEMA5A', 'ONECUT1']",t5b50bzyid1d
75,HRGC5,1522,0.4399212081,0.7034120735,1773894,113,1254,268,2,"['ENSG00000253100.2', 'C1QTNF7']","['ENSG00000253100.2', 'C1QTNF7', 'KLRD1', 'CDCA2', 'PSMF1', 'WDR73', 'CREB5', 'CARS1', 'FAM184B', 'ADAM7-AS1']",gqj2t3831jv8
76,OFF-SAC_2,161,0.0005175433391,0.0004141266896,1594339,181029,86,75,2,"['DGKB', 'GRIK1']","['CRYBG3', 'NETO1', 'GABRA5', 'DGKB', 'GRIK1', 'SAMSN1', 'OTX2', 'CACNA2D4', 'ZNF804B', 'OTX2-AS1']",qgsjbnl4dj44
77,HRGC3,3132,0.1313447143,0.1131648805,1763377,9020,1981,1151,3,"['ZBTB7C', 'EBF1', 'MIAT']","['PCA3', 'NEFL', 'ZBTB7C', 'NEFM', 'EBF1', 'MIAT', 'RAP1GAP2', 'SYN3', 'CNTNAP5', 'CTIF']",0clu2kot6pxc
78,OFF-SAC_1,3236,0.5804910045,0.6664873588,1771673,620,1997,1239,3,"['SLC5A7', 'WIF1', 'SORCS3']","['SH3BP4', 'SLC5A7', 'WIF1', 'LINC01568', 'RGS6', 'SORCS3', 'MPDZ', 'FLRT2', 'CDH4', 'B4GALT6']",krmu82y6bild
79,HRGC9,463,0.348304308,0.4840764331,1774985,81,387,76,2,"['CREB5', 'FNIP2']","['LURAP1L-AS1', 'TFAP2D', 'CFAP61', 'ELL2', 'CREB5', 'FNIP2', 'GAP43', 'HOMER1', 'UPP1', 'USP53']",gsynxmw2yxs6
80,Invaginating midget bipolar,46716,0.8302400547,0.929210796,1726741,2072,19518,27198,2,"['GABRR2', 'DISC1']","['CDH9', 'HS3ST4', 'VSX1', 'GABRR2', 'ENSG00000271860.9', 'DISC1', 'SAMD5', 'CARMIL1', 'SLC35F4', 'ENSG00000254787.1']",kmb9ndtars8p
81,OFFx,13296,0.734167365,0.9755418572,1762110,123,8390,4906,2,"['FEZF1-AS1', 'ENSG00000278254.4']","['ENSG00000259048.1', 'FEZF1-AS1', 'ARHGAP6', 'ENSG00000278254.4', 'NXPH1', 'PDZRN4', 'NTNG1', 'ERBB4', 'SLC24A3', 'DPP10']",x0fagboibuuq
82,HRGC8,660,0.05621693122,0.05048255382,1773590,1279,592,68,6,"['LINC-PINT', 'NFIB', 'FRMPD4', 'ZNF804B', 'NFIA', 'CLU']","['LINC-PINT', 'NFIB', 'FRMPD4', 'ZNF804B', 'NFIA', 'CLU', 'VAT1L', 'ENSG00000254787.1', 'ADCY2', 'MCC']",vqbjby200t1x
83,Microglia,2627,0.8578114109,0.9293419633,1772771,131,904,1723,1,['SLC11A1'],"['SLC11A1', 'CD74', 'SRGN', 'INPP5D', 'TNFRSF1B', 'RGS1', 'TLR2', 'HLA-DRA', 'OLR1', 'CLEC7A']",1zqh21f06xui
84,PENK,3168,0.5273821218,0.6905144695,1771976,385,2309,859,3,"['NECAB1', 'CPNE8', 'CACNA1E']","['ENPP1', 'PTCHD1-AS', 'NECAB1', 'CPNE8', 'DACH2', 'CACNA1E', 'RGS6', 'RELN', 'PCDH11X', 'SGCZ']",sv2af9g2ohai
85,ON-SAC,12198,0.800351803,0.8921568627,1762495,836,5282,6916,2,"['TNFRSF11A', 'SLC5A7']","['TNFRSF11A', 'EFHD2', 'CHAT', 'TMEM255A', 'SLC5A7', 'ADAMTS18', 'FLT1', 'STXBP6', 'DOK5', 'KIAA1217']",21tgvpaawir4
86,MG,116328,0.9713267969,0.9776018742,1656677,2524,6164,110164,1,['HKDC1'],"['EGF', 'CDH23', 'HKDC1', 'MYO3A', 'CPA6', 'TF', 'TRDN', 'RLBP1', 'STAC2', 'WIF1']",i8ar0gesro17
87,SEG,5618,0.7974477471,0.9049463647,1769592,319,2581,3037,2,"['PROM1', 'EBF3']","['PDE3B', 'GRIP2', 'PROM1', 'EBF3', 'NR2F2-AS1', 'DLG1', 'ATP8B4', 'NKAIN2', 'PTPRT', 'SEMA3A']",mcbu8zu8hr29
88,MG_OFF,51334,0.6104590597,0.6089834879,1703877,20318,19690,31644,2,"['MCTP1', 'PCA3']","['MCTP1', 'PCA3', 'AHNAK2', 'ST6GAL1', 'RBPMS', 'RIT2', 'SLC4A4', 'RGS6', 'SORCS1', 'PRKG1']",grya46rvfaap
