,subclass.full,mean,std,median,count,q1,q3,f_score,uuid
0,T Cell,0.2331171690707323,0.3251175889697443,0.3892715702710573,1718,0.0406952260967196,0.4888104489750352,0.7162076606521051,lqyj1mhu7vkn
1,Renin-positive Juxtaglomerular Granular Cell,-0.1025261196979825,0.2373579178227285,-0.0565139800830675,60,-0.2607074076722417,0.0560534985455245,0.7746478873239436,cgaunbbfojll
2,Schwann Cell / Neural,0.7467250071658699,0.2944299348900603,0.8261249032752606,35,0.8107510409274453,0.8307119922248494,0.8992805755395683,ixuvz49c3yal
