,software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget,uuid
0,4.1,subclass.full,T Cell,1718,0.7162076606521051,0.7869565217391304,0.5267753201396973,103482,245,813,905,1,['ENSG00000168685'],"['ENSG00000168685', 'ENSG00000153283', 'ENSG00000151883', 'ENSG00000010810', 'ENSG00000185811', 'ENSG00000075884', 'ENSG00000081237', 'ENSG00000134954', 'ENSG00000027075', 'ENSG00000112576']",1.0,9u7v2y6czmc4
1,4.1,subclass.full,Renin-positive Juxtaglomerular Granular Cell,60,0.7746478873239436,0.7857142857142857,0.7333333333333333,105373,12,16,44,2,"['ENSG00000143839', 'ENSG00000140538']","['ENSG00000143839', 'ENSG00000152208', 'ENSG00000103175', 'ENSG00000138031', 'ENSG00000140538', 'ENSG00000107242', 'ENSG00000021645', 'ENSG00000165995', 'ENSG00000112541', 'ENSG00000083067']",0.6557008624076843,7dtxarojwb1s
2,4.1,subclass.full,Schwann Cell / Neural,35,0.8992805755395683,0.9615384615384616,0.7142857142857143,105409,1,10,25,1,['ENSG00000179915'],"['ENSG00000179915', 'ENSG00000071991', 'ENSG00000136546', 'ENSG00000175161', 'ENSG00000198597', 'ENSG00000181938', 'ENSG00000149294', 'ENSG00000146938', 'ENSG00000154654', 'ENSG00000149571']",1.0,8yj6lvwyeij7
