cluster,count
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,8551
Degenerative Proximal Tubule Epithelial Cell,7586
Cortical Thick Ascending Limb Cell,7215
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,5867
Medullary Fibroblast,4363
Peritubular Capilary Endothelial Cell ,4106
Inner Medullary Collecting Duct Cell,4094
Distal Convoluted Tubule Cell Type 1,3550
Cortical Collecting Duct Intercalated Cell Type A,3512
Medullary Thick Ascending Limb Cell,3492
Connecting Tubule Cell,2944
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,2757
Cortical Collecting Duct Principal Cell,2470
Ascending Vasa Recta Endothelial Cell,2454
Connecting Tubule Principal Cell,2140
Proximal Tubule Epithelial Cell Segment 3,2121
Fibroblast,1864
Glomerular Capillary Endothelial Cell,1826
Descending Vasa Recta Endothelial Cell,1809
Degenerative Inner Medullary Collecting Duct Cell,1764
Ascending Thin Limb Cell,1764
T Cell,1718
Degenerative Distal Convoluted Tubule Cell,1535
Degenerative Outer Medullary Collecting Duct Principal Cell,1449
Vascular Smooth Muscle Cell / Pericyte,1425
Descending Thin Limb Cell Type 3,1388
M2 Macrophage,1285
Descending Thin Limb Cell Type 1,1233
Macula Densa Cell,1185
Intercalated Cell Type B,1112
Degenerative Ascending Thin Limb Cell,1090
Podocyte,1061
Degenerative Cortical Intercalated Cell Type A,1031
Monocyte-derived Cell,1027
Outer Medullary Collecting Duct Intercalated Cell Type A,886
Outer Medullary Collecting Duct Principal Cell,879
Descending Thin Limb Cell Type 2,814
Parietal Epithelial Cell,776
Degenerative Vascular Smooth Muscle Cell,762
Degenerative Medullary Thick Ascending Limb Cell,712
Myofibroblast,696
Degenerative Medullary Fibroblast,655
Natural Killer Cell / Natural Killer T Cell,569
Afferent / Efferent Arteriole Endothelial Cell,559
Vascular Smooth Muscle Cell,491
Adaptive / Maladaptive / Repairing Fibroblast,423
B Cell,422
Degenerative Descending Thin Limb Cell Type 3,399
Papillary Tip Epithelial Cell,399
Distal Convoluted Tubule Cell Type 2,363
Degenerative Connecting Tubule Cell,356
Degenerative Cortical Thick Ascending Limb Cell,344
Non-classical Monocyte,241
Mesangial Cell,229
Degenerative Podocyte,192
Transitional Principal-Intercalated Cell,167
Cycling Proximal Tubule Epithelial Cell,141
Lymphatic Endothelial Cell,130
Degenerative Peritubular Capilary Endothelial Cell,126
Plasma Cell,120
Mast Cell,112
Connecting Tubule Intercalated Cell Type A,110
Degenerative Fibroblast,90
Neutrophil,89
Degenerative Endothelial Cell,70
Renin-positive Juxtaglomerular Granular Cell,60
Classical Dendritic Cell,57
Cycling Endothelial Cell,54
Cycling Mononuclear Phagocyte,47
Schwann Cell / Neural,35
Plasmacytoid Dendritic Cell,31
Cycling Myofibroblast,18
Cycling Natural Killer Cell / Natural Killer T Cell,16
Cycling Connecting Tubule Cell,11
Cycling Distal Convoluted Tubule Cell,6
