clusterName,gene
Degenerative Proximal Tubule Epithelial Cell,ENSG00000197375
Degenerative Proximal Tubule Epithelial Cell,ENSG00000158296
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,ENSG00000250799
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,ENSG00000171759
Papillary Tip Epithelial Cell,ENSG00000176153
Papillary Tip Epithelial Cell,ENSG00000073282
Degenerative Inner Medullary Collecting Duct Cell,ENSG00000132874
Degenerative Inner Medullary Collecting Duct Cell,ENSG00000137673
Degenerative Inner Medullary Collecting Duct Cell,ENSG00000150201
Degenerative Ascending Thin Limb Cell,ENSG00000109610
Degenerative Ascending Thin Limb Cell,ENSG00000140600
Degenerative Ascending Thin Limb Cell,ENSG00000085662
Descending Thin Limb Cell Type 3,ENSG00000249776
Descending Thin Limb Cell Type 3,ENSG00000188883
Ascending Thin Limb Cell,ENSG00000064787
Ascending Thin Limb Cell,ENSG00000140600
Degenerative Connecting Tubule Cell,ENSG00000104327
Degenerative Connecting Tubule Cell,ENSG00000136531
Degenerative Connecting Tubule Cell,ENSG00000101443
Degenerative Outer Medullary Collecting Duct Principal Cell,ENSG00000160951
Degenerative Outer Medullary Collecting Duct Principal Cell,ENSG00000165272
Degenerative Outer Medullary Collecting Duct Principal Cell,ENSG00000115457
Transitional Principal-Intercalated Cell,ENSG00000147606
Transitional Principal-Intercalated Cell,ENSG00000166828
Transitional Principal-Intercalated Cell,ENSG00000157404
Transitional Principal-Intercalated Cell,ENSG00000150201
Connecting Tubule Principal Cell,ENSG00000159167
Connecting Tubule Principal Cell,ENSG00000104327
Cortical Thick Ascending Limb Cell,ENSG00000113946
Cortical Thick Ascending Limb Cell,ENSG00000169344
Cycling Proximal Tubule Epithelial Cell,ENSG00000139734
Cycling Proximal Tubule Epithelial Cell,ENSG00000109685
Cycling Proximal Tubule Epithelial Cell,ENSG00000146555
Inner Medullary Collecting Duct Cell,ENSG00000249853
Inner Medullary Collecting Duct Cell,ENSG00000267134
Outer Medullary Collecting Duct Principal Cell,ENSG00000254789
Outer Medullary Collecting Duct Principal Cell,ENSG00000160111
Cycling Connecting Tubule Cell,ENSG00000197372
Cycling Connecting Tubule Cell,ENSG00000092140
Cycling Connecting Tubule Cell,ENSG00000178445
Cortical Collecting Duct Principal Cell,ENSG00000182752
Cortical Collecting Duct Principal Cell,ENSG00000259905
Outer Medullary Collecting Duct Intercalated Cell Type A,ENSG00000233215
Outer Medullary Collecting Duct Intercalated Cell Type A,ENSG00000106302
Connecting Tubule Intercalated Cell Type A,ENSG00000145147
Connecting Tubule Intercalated Cell Type A,ENSG00000109684
Cortical Collecting Duct Intercalated Cell Type A,ENSG00000144227
Cortical Collecting Duct Intercalated Cell Type A,ENSG00000185274
Intercalated Cell Type B,ENSG00000113073
Connecting Tubule Cell,ENSG00000251504
Connecting Tubule Cell,ENSG00000136531
