cluster,n_cells,percentage
Adaptive / Maladaptive / Repairing Fibroblast,423,0.4
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,5867,5.56
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,2757,2.61
Afferent / Efferent Arteriole Endothelial Cell,559,0.53
Ascending Thin Limb Cell,1764,1.67
Ascending Vasa Recta Endothelial Cell,2454,2.33
B Cell,422,0.4
Classical Dendritic Cell,57,0.05
Connecting Tubule Cell,2944,2.79
Connecting Tubule Intercalated Cell Type A,110,0.1
Connecting Tubule Principal Cell,2140,2.03
Cortical Collecting Duct Intercalated Cell Type A,3512,3.33
Cortical Collecting Duct Principal Cell,2470,2.34
Cortical Thick Ascending Limb Cell,7215,6.84
Cycling Connecting Tubule Cell,11,0.01
Cycling Distal Convoluted Tubule Cell,6,0.01
Cycling Endothelial Cell,54,0.05
Cycling Mononuclear Phagocyte,47,0.04
Cycling Myofibroblast,18,0.02
Cycling Natural Killer Cell / Natural Killer T Cell,16,0.02
Cycling Proximal Tubule Epithelial Cell,141,0.13
Degenerative Ascending Thin Limb Cell,1090,1.03
Degenerative Connecting Tubule Cell,356,0.34
Degenerative Cortical Intercalated Cell Type A,1031,0.98
Degenerative Cortical Thick Ascending Limb Cell,344,0.33
Degenerative Descending Thin Limb Cell Type 3,399,0.38
Degenerative Distal Convoluted Tubule Cell,1535,1.46
Degenerative Endothelial Cell,70,0.07
Degenerative Fibroblast,90,0.09
Degenerative Inner Medullary Collecting Duct Cell,1764,1.67
Degenerative Medullary Fibroblast,655,0.62
Degenerative Medullary Thick Ascending Limb Cell,712,0.68
Degenerative Outer Medullary Collecting Duct Principal Cell,1449,1.37
Degenerative Peritubular Capilary Endothelial Cell,126,0.12
Degenerative Podocyte,192,0.18
Degenerative Proximal Tubule Epithelial Cell,7586,7.19
Degenerative Vascular Smooth Muscle Cell,762,0.72
Descending Thin Limb Cell Type 1,1233,1.17
Descending Thin Limb Cell Type 2,814,0.77
Descending Thin Limb Cell Type 3,1388,1.32
Descending Vasa Recta Endothelial Cell,1809,1.72
Distal Convoluted Tubule Cell Type 1,3550,3.37
Distal Convoluted Tubule Cell Type 2,363,0.34
Fibroblast,1864,1.77
Glomerular Capillary Endothelial Cell,1826,1.73
Inner Medullary Collecting Duct Cell,4094,3.88
Intercalated Cell Type B,1112,1.05
Lymphatic Endothelial Cell,130,0.12
M2 Macrophage,1285,1.22
Macula Densa Cell,1185,1.12
Mast Cell,112,0.11
Medullary Fibroblast,4363,4.14
Medullary Thick Ascending Limb Cell,3492,3.31
Mesangial Cell,229,0.22
Monocyte-derived Cell,1027,0.97
Myofibroblast,696,0.66
Natural Killer Cell / Natural Killer T Cell,569,0.54
Neutrophil,89,0.08
Non-classical Monocyte,241,0.23
Outer Medullary Collecting Duct Intercalated Cell Type A,886,0.84
Outer Medullary Collecting Duct Principal Cell,879,0.83
Papillary Tip Epithelial Cell,399,0.38
Parietal Epithelial Cell,776,0.74
Peritubular Capilary Endothelial Cell ,4106,3.89
Plasma Cell,120,0.11
Plasmacytoid Dendritic Cell,31,0.03
Podocyte,1061,1.01
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,8551,8.11
Proximal Tubule Epithelial Cell Segment 3,2121,2.01
Renin-positive Juxtaglomerular Granular Cell,60,0.06
Schwann Cell / Neural,35,0.03
T Cell,1718,1.63
Transitional Principal-Intercalated Cell,167,0.16
Vascular Smooth Muscle Cell,491,0.47
Vascular Smooth Muscle Cell / Pericyte,1425,1.35
