,clusterName,clusterSize,f_score,recall,precision,TN,FP,FN,TP,marker_count,NSForest_markers,onTarget,binary_genes,uuid
14,L4 IT_1,42542,0.6129032258,0.304,0.8216216216,72611,33,348,152,3,"['TPBG', 'RP11-197K6.1', 'ST8SIA4']",0.1385918707,"['FSHR', 'SLC22A10', 'SLC22A24', 'SCHLAP1', 'TPBG', 'RP11-197K6.1', 'GABRG1', 'SLC38A11', 'COBLL1', 'TSHZ2']",mgt2n5i20iie
15,L4 IT_2,6235,0.7738095238,0.546,0.8639240506,72601,43,227,273,2,"['C6orf141', 'ST8SIA4']",0.5175915956,"['C6orf141', 'MET', 'NPNT', 'VIPR2', 'PHLDB2', 'RORB', 'SNCAIP', 'NTNG1', 'IL1RAPL2', 'RELN']",ev0xagdfazev
16,L4 IT_3,31827,0.6151315789,0.374,0.7333333333,72576,68,313,187,3,"['TMEM215', 'KCNH8', 'RORB']",0.1109118313,"['TMEM215', 'CACNG5', 'ITM2A', 'KCNH8', 'RORB', 'TRPC3', 'VAV3', 'CEMIP', 'ARHGAP24', 'ARHGAP10']",5elnr79p75nm
17,L4 IT_4,4137,0.6526243094,0.378,0.7974683544,72596,48,311,189,3,"['STAC', 'KCNH8', 'SYT2']",0.1014147401,"['STAC', 'MET', 'TXK', 'KCNH8', 'SYT2', 'LAMA4', 'SV2C', 'VAV3', 'TRPC3', 'SLC24A4']",8nq3659m3nkl
18,L4 IT_5,18918,0.6576797386,0.322,0.8895027624,72624,20,339,161,2,"['COL22A1', 'CMAHP']",0.6400825977,"['COL22A1', 'ADAMTS16', 'CMAHP', 'RP11-197K6.1', 'MYLK', 'OTOGL', 'RMST', 'ANO3', 'TCERG1L', 'TSHZ2']",2gmxk14ucz58
19,L4 IT_6,16163,0.6703910615,0.384,0.8240343348,72603,41,308,192,3,"['PLEKHH2', 'CLMN', 'ST8SIA4']",0.06749126315,"['CCDC68', 'CD74', 'CACNG5', 'STAC', 'PLEKHH2', 'CLMN', 'RORB', 'EYA4', 'TRPC3', 'HS6ST2']",hsat81i88rah
20,L5 ET_1,1614,0.7288918206,0.442,0.8700787402,72611,33,279,221,2,"['LINC00922', 'POU3F1']",0.6281222105,"['LINC00922', 'OR51E2', 'NAALADL2-AS2', 'C5orf64', 'TXK', 'COL5A2', 'ANXA4', 'PROS1', 'COL24A1', 'DCN']",8ybr56c2jtd6
21,L5 ET_2,6561,0.759375,0.486,0.8836363636,72612,32,257,243,3,"['ATP6V1C2', 'LRP2', 'ST8SIA2']",0.2830759883,"['ATP6V1C2', 'SLC66A1L', 'LRP2', 'ST8SIA2', 'CHST8', 'COL5A2', 'CCBE1', 'SULF2', 'VAT1L', 'TCERG1L']",mgi6lpu1t42k
22,L5 ET_3,335,0.8891454965,0.6895522388,0.9585062241,72799,10,104,231,4,"['ONECUT1', 'TTC6', 'SEMA3D', 'FAM189A2']",0.5701438189,"['ONECUT1', 'TTC6', 'WDR72', 'LIPC', 'SEMA3D', 'FAM189A2', 'MYO1E', 'ERG', 'SULF2', 'HTR2C']",md7327l9hrsv
23,L5 ET_4,301,0.7297605473,0.4252491694,0.8888888889,72827,16,173,128,2,"['EHF', 'FGF11']",1.0,"['EHF', 'C1QTNF7', 'FGF11', 'GNA14-AS1', 'LINC00504', 'DNAI1', 'GNA14', 'SYT2', 'ERG', 'EYA4']",ryu9tuap6cjr
24,L5 IT_1,1032,0.625,0.456,0.6888217523,72541,103,272,228,3,"['CHST2', 'TLL1', 'RORB']",0.09858877212,"['CHST2', 'RP11-197K6.1', 'TLL1', 'HPCA', 'LRRK1', 'RORB', 'ARHGAP29', 'MAL2', 'ADAMTSL1', 'NRN1']",wgdhmun9djkb
25,L5 IT_2,86137,0.5685240964,0.302,0.729468599,72588,56,349,151,4,"['NPY2R', 'PCED1B', 'TLL1', 'RORB']",0.1260653436,"['TRABD2A', 'NPY2R', 'PCED1B', 'TLL1', 'ARSJ', 'LRRK1', 'LDLRAD3', 'LY86-AS1', 'ANO3', 'TAFA1']",6ffaqph7uptw
26,L5 IT_3,12848,0.4947916667,0.266,0.6303317536,72566,78,367,133,3,"['RPRM', 'HPCA', 'RORB']",0.05687811226,"['RPRM', 'TRABD2A', 'RCSD1', 'HPCA', 'LRRK1', 'MKX', 'RORB', 'PCP4', 'NRN1', 'IPCEF1']",d4qf4z66a8gg
