,clusterName,clusterSize,f_score,recall,precision,TN,FP,FN,TP,marker_count,NSForest_markers,onTarget,binary_genes,uuid
82,Sncg_7,894,0.7097791798,0.36,0.9375,72632,12,320,180,3,"['HTR3A', 'SYT9', 'MCTP2']",0.1193992645,"['HTR3A', 'ANO2', 'SYT9', 'TNFAIP8L3', 'MCTP2', 'EDNRA', 'LYPD6', 'ARHGAP18', 'LYPD6B', 'CADPS2']",lsrcz1e172kp
83,Sncg_8,303,0.4947613504,0.2805280528,0.6115107914,72787,54,218,85,3,"['NDST4', 'HTR2C', 'PRELID2']",0.0496952273,"['PCDH20', 'SYT10', 'NDST4', 'HTR2C', 'RASL10A', 'PRELID2', 'IL1RAPL2', 'PLCE1', 'TAFA1', 'GULP1']",5kdsznr3cu59
84,Sst Chodl_1,1218,0.8940261866,0.874,0.8991769547,72595,49,63,437,1,['NPY'],0.6137999296,"['LINC01014', 'CDHR1', 'CHODL', 'NPY', 'FAM163A', 'ANKRD34B', 'NPY2R', 'NOS1', 'CRHBP', 'THSD4']",mtgwqh5mg89l
85,Sst_1,4957,0.5104166667,0.294,0.6255319149,72556,88,353,147,3,"['NDST4', 'ANGPT1', 'EPB41L4A']",0.05335111171,"['KLHL14', 'NDST4', 'ANGPT1', 'VCAN', 'EPB41L4A', 'TRPC6', 'CMTM8', 'ADAMTS6', 'COL25A1', 'SEL1L3']",49btwyuiuc1e
86,Sst_2,2768,0.5613577023,0.344,0.6666666667,72558,86,328,172,3,"['HPGD', 'RGS5_ENSG00000143248', 'SPON1']",0.05032768846,"['HPGD', 'FLT1', 'MOXD1', 'RGS5_ENSG00000143248', 'TAC1', 'SPON1', 'MYO5B', 'HTR4', 'SPHKAP', 'FREM1']",2utifd3iprn0
87,Sst_3,460,0.6936997319,0.45,0.8023255814,72633,51,253,207,3,"['TCF7L1', 'FBXL7', 'CBLN2']",0.03275166452,"['TCF7L1', 'STAC', 'LINC01630', 'MIR4500HG', 'FBXL7', 'CBLN2', 'THSD7B', 'NTNG1', 'RUNX2', 'KCNK2']",eequ9zmppjw4
88,Sst_4,452,0.5479002625,0.3694690265,0.6231343284,72591,101,285,167,4,"['SCARA5', 'PIEZO2', 'CRYBG3', 'PLCH1']",0.08051922172,"['TRPC7', 'SCARA5', 'RSPO3', 'PIEZO2', 'ITGA1', 'CRYBG3', 'KLHL13', 'SPON1', 'CNTNAP3', 'ANKFN1']",yxauhii7go04
89,Sst_5,390,0.5248833593,0.3461538462,0.6026785714,72665,89,255,135,3,"['SH3RF2', 'NPY', 'CALB1']",0.3862000704,"['SH3RF2', 'NPY', 'ADAMTS12', 'CALB1', 'STK32B', 'CBLN4', 'ARHGAP24', 'GULP1', 'IL1RAPL2', 'CPNE4']",l1y5qw2yogx0
90,Sst_6,293,0.3852080123,0.1706484642,0.5617977528,72812,39,243,50,2,"['DPP4', 'MAFB']",0.05771525949,"['GLUL', 'MT-ND4L', 'DPP4', 'SLC9A2', 'NOS1', 'MAFB', 'ROR1', 'DIRAS1', 'MT-ND5', 'ARHGAP10']",jz2syrvz9bxn
91,Sst_7,2716,0.446969697,0.236,0.5756097561,72557,87,382,118,4,"['EPSTI1', 'PIEZO2', 'HPSE2', 'PLCH1']",0.0710818246,"['EPSTI1', 'SMOC2', 'PIEZO2', 'NOS1', 'HPSE2', 'EYA4', 'EYS', 'MYO5B', 'RNF144B', 'PPARG']",vgz7ts5bthw7
92,Sst_8,9593,0.5061619718,0.23,0.7232704403,72600,44,385,115,3,"['STK32A', 'SYT9', 'RELN']",0.1119235978,"['STK32A', 'ADGRG6', 'SYT9', 'EDNRA', 'TTN', 'RELN', 'CBLN2', 'BICC1', 'PCDH15', 'COL21A1']",l7tima47r1ey
93,Sst_9,2520,0.3506097561,0.184,0.4532019704,72533,111,408,92,3,"['MYO10', 'ARHGAP6', 'FREM1']",0.04535326362,"['GXYLT2', 'MYO10', 'EDNRA', 'ANXA4', 'ARHGAP6', 'FREM1', 'FBXL7', 'RNF144B', 'TANC1', 'ADAMTSL3']",sfbnduxrnmk8
94,Sst_10,2466,0.3615384615,0.188,0.47,72538,106,406,94,4,"['HPSE2', 'EYA4', 'SST', 'PLCH1']",0.03274382651,"['MME', 'PROM1', 'NOS1', 'HPSE2', 'TAC1', 'EYA4', 'MAFB', 'EYS', 'SLC24A4', 'PNOC']",m8x9i6fjz8c6
95,Sst_11,10559,0.3489847716,0.22,0.4089219331,72485,159,390,110,3,"['ADGRG6', 'PROM1', 'SYT9']",0.1442073137,"['OTOF', 'ADGRG6', 'PROM1', 'SYT9', 'SLC9A2', 'MCUB', 'EYS', 'ARHGEF28', 'RELN', 'COL25A1']",coc4oggggi1o
96,Sst_12,2288,0.3434844193,0.194,0.4254385965,72513,131,403,97,4,"['CBLN4', 'SLC24A4', 'EYS', 'PLCH1']",0.03417242691,"['RSPO3', 'CBLN4', 'CRYBG3', 'SLC24A4', 'EYS', 'ARHGAP10', 'SNED1', 'COL25A1', 'FRMD4B', 'ADAMTS9-AS2']",wkh7eeon2jjy
97,Sst_13,2226,0.5461876833,0.298,0.6898148148,72577,67,351,149,3,"['FBN2', 'TRPC6', 'EPB41L4A']",0.04587966576,"['ADAMTS20', 'HGF', 'FBN2', 'SPON1', 'TRPC6', 'EPB41L4A', 'GPR149', 'PTPRK', 'SCN9A', 'STXBP6']",pvfd8zv06xsg
98,Sst_14,2204,0.4631474104,0.186,0.7380952381,72611,33,407,93,3,"['SLC9A2', 'ROR1', 'EYA4']",0.04716430232,"['SLC9A2', 'DPP4', 'NOS1', 'MKX', 'ROR1', 'EYA4', 'ARHGAP10', 'CDH6', 'FRMD4B', 'COL25A1']",2ff0s1qs2h86
99,Sst_15,2178,0.45995671,0.17,0.8018867925,72623,21,415,85,4,"['DPP4', 'EPB41L4A', 'FREM1', 'PLCH1']",0.03904420137,"['DPP4', 'EPB41L4A', 'FREM1', 'CEMIP2', 'ARHGAP10', 'VGF', 'PRKG2', 'CLMP', 'MITF', 'TMEM132C']",tn7eq5e4zt2i
100,Sst_16,2118,0.6,0.264,0.88,72626,18,368,132,3,"['LINC01630', 'DACH1', 'VAV3']",0.0490947254,"['ACADL', 'GASK1B', 'LINC01630', 'ZBBX', 'DACH1', 'VAV3', 'LYPD6', 'THSD7B', 'SEMA5A', 'RUNX2']",9gt1zb1m9vge
101,Sst_17,1860,0.4022606383,0.242,0.4820717131,72514,130,379,121,3,"['PROM1', 'EYA2', 'PLCH1']",0.0935036689,"['OTOF', 'MME', 'PROM1', 'EYA2', 'LPAR1', 'SLC9A2', 'TAC1', 'ARHGAP6', 'SLC24A4', 'CHN2']",4djyldjo0aw0
102,Sst_18,1852,0.3430787589,0.23,0.3911564626,72465,179,385,115,4,"['ENOX2', 'PNOC', 'SST', 'RELN']",0.03171800449,"['ENOX2', 'CRHBP', 'PNOC', 'VAT1L', 'SST', 'RELN', 'BICC1', 'PTCHD1-AS', 'PCDH15', 'SEL1L3']",rufna0oigx6n
103,Sst_19,1831,0.7339449541,0.512,0.8231511254,72589,55,244,256,3,"['EPB41L4A', 'GPC5', 'PLCH1']",0.03357978538,"['TH', 'MINAR1', 'EPB41L4A', 'GPC5', 'GULP1', 'RAB3B', 'EGFEM1P', 'SEL1L3', 'PTPRK', 'MAML3']",0c1ylanot1gx
104,Sst_20,1759,0.4671717172,0.37,0.5,72459,185,315,185,3,"['QRFPR', 'HGF', 'RELN']",0.09578680247,"['QRFPR', 'HGF', 'DPP4', 'GLRA3', 'TRIM67', 'RELN', 'NTNG1', 'NEAT1', 'GREB1', 'COL25A1']",qgn7o8g06lu1
105,Sst_21,1749,0.4831560284,0.218,0.6942675159,72596,48,391,109,3,"['ANGPT1', 'FBN2', 'COL24A1']",0.05125998706,"['NOTCH2', 'STK32B', 'ANGPT1', 'FBN2', 'COL24A1', 'MCUB', 'ARHGAP6', 'MYO1B', 'ADAMTSL1', 'CDH6']",z7rtggvlnevh
106,Sst_22,9423,0.4351032448,0.236,0.5514018692,72548,96,382,118,3,"['EPB41L4A', 'ITGA8', 'SST']",0.03073859774,"['INSYN2B', 'TRPC6', 'TAC3', 'EPB41L4A', 'ITGA8', 'SPHKAP', 'PRKG2', 'GHR', 'PREX2', 'NR2F2-AS1']",lyuprtmgzofc
107,Sst_23,1563,0.6134686347,0.266,0.9109589041,72631,13,367,133,3,"['NIBAN1', 'PROM1', 'THSD7B']",0.1293586493,"['NIBAN1', 'KLHL14', 'PROM1', 'HCRTR2', 'FBN2', 'THSD7B', 'GULP1', 'CBLN2', 'TANC1', 'MB21D2']",ezpw7u1fzs2k
108,Sst_24,1555,0.3779069767,0.182,0.5170454545,72559,85,409,91,3,"['NDST4', 'BMP6', 'MYO5B']",0.04334740341,"['NEDD4', 'DKK2', 'NDST4', 'BMP6', 'TAC1', 'MYO5B', 'SLC26A4', 'ARHGAP42', 'SVEP1', 'GHR']",lnvuatpv48c1
109,Sst_25,7312,0.4568965517,0.212,0.6424242424,72585,59,394,106,3,"['BLM', 'CALB1', 'STK32B']",0.1325361431,"['HPGD', 'PENK', 'BLM', 'CALB1', 'STK32B', 'ADAM12', 'CBLN4', 'CRYBG3', 'CREB5', 'EYA4']",3iwdi5j96s2y
110,Sst_26,1485,0.2326233184,0.166,0.2585669782,72406,238,417,83,3,"['MME', 'FBN2', 'MCUB']",0.05033040047,"['MME', 'FBN2', 'ARHGAP6', 'MCUB', 'AHR', 'SLC24A4', 'ADAMTSL1', 'MT-ND5', 'CUX2', 'ELFN1']",4z62zhgx719f
111,Sst_27,1409,0.3916893733,0.23,0.4752066116,72517,127,385,115,4,"['EDNRA', 'MT-ND5', 'FREM1', 'SST']",0.03106813505,"['RCAN3', 'EDNRA', 'MT-ND5', 'FREM1', 'SPHKAP', 'SST', 'EFHD2', 'ALDOC', 'VSTM2B', 'NIPAL3']",6m97kb7tdkti
112,Sst_28,2921,0.5884615385,0.306,0.765,72597,47,347,153,3,"['PROM1', 'NDST4', 'TRPC6']",0.08169220388,"['SLC17A8', 'PROM1', 'QRFPR', 'KLHL1', 'NDST4', 'TRPC6', 'MIR4500HG', 'SPHKAP', 'ITGA8', 'THSD7B']",9cdjr61jfy42
113,Sst_29,1409,0.4135338346,0.176,0.6241134752,72591,53,412,88,3,"['ENPP1', 'QRFPR', 'PIEZO2']",0.127894029,"['SLCO4C1', 'PRLR', 'ENPP1', 'B3GAT2', 'QRFPR', 'PIEZO2', 'EDNRA', 'FREM1', 'TRPC5', 'SPHKAP']",yfcuhghf43pu
114,Sst_30,4334,0.4063786008,0.316,0.4376731302,72441,203,342,158,3,"['NOTCH2', 'HTR2C', 'FBN2']",0.05153189227,"['MME', 'PENK', 'NOTCH2', 'INSYN2B', 'HTR2C', 'FBN2', 'GPR161', 'MCUB', 'ADAMTSL1', 'CUX2']",mkey1nbvt8sm
115,Sst_31,1291,0.4743083004,0.192,0.75,72612,32,404,96,4,"['FRZB', 'CBLN4', 'RGS5_ENSG00000143248', 'ARHGAP10']",0.05487248302,"['LINC00534', 'FRZB', 'ANOS1', 'CBLN4', 'RGS5_ENSG00000143248', 'ARHGAP10', 'TMEM132C', 'ALK', 'COL25A1', 'ITPRID2']",5zlnngd9otrv
116,Sst_32,1206,0.4056728232,0.246,0.4842519685,72513,131,377,123,3,"['HPGD', 'PENK', 'EYA2']",0.1549197435,"['HPGD', 'PENK', 'CALB1', 'EYA2', 'STK32B', 'ANOS1', 'CBLN4', 'MKX', 'COL24A1', 'GULP1']",skt8voebh2b8
117,Sst_33,3553,0.3908668731,0.202,0.5101010101,72547,97,399,101,3,"['CRYBG3', 'BMP6', 'HTR2C']",0.05654806271,"['AGBL1', 'CALB1', 'CRYBG3', 'BMP6', 'INSYN2B', 'HTR2C', 'PCDH8', 'CUX2', 'SPHKAP', 'ANKRD30B']",iv0juo2jzu7a
118,Sst_34,1017,0.5657492355,0.296,0.7326732673,72590,54,352,148,2,"['TTC29', 'TCF7L1']",0.6034216285,"['TTC29', 'PKHD1', 'TCF7L1', 'LINC01630', 'GLRA3', 'ROR1', 'TRIM67', 'TSPAN9', 'CDH7', 'TOX']",hd6e6obkp1l5
119,Sst_35,895,0.5226480836,0.24,0.7407407407,72602,42,380,120,3,"['ACVR1C', 'EYA2', 'TRIM67']",0.1155244485,"['ENPP1', 'ACVR1C', 'EYA2', 'LPAR1', 'LAMA4', 'TRIM67', 'ADAMTSL1', 'ETV1', 'NR2F2-AS1', 'PDE7B']",igky0iimt3z2
120,Sst_36,712,0.6381381381,0.34,0.8173076923,72606,38,330,170,4,"['TRDN', 'ITGA1', 'PARD3B', 'PLCH1']",0.05873247236,"['TRDN', 'WNT16', 'HTR7', 'HGF', 'ITGA1', 'PARD3B', 'ST8SIA4', 'GPC5', 'PLCE1', 'SEMA5A']",fai29xi06mxf
121,Sst_37,639,0.5,0.188,0.8545454545,72628,16,406,94,3,"['PROM1', 'CRHBP', 'SST']",0.06754772365,"['SCARA5', 'NHSL2', 'ADGRG6', 'PROM1', 'RSPO3', 'CRHBP', 'FGF1', 'EYS', 'PNOC', 'SST']",ctojnvk4blt8
122,VLMC_1,139,0.8559498956,0.5899280576,0.9647058824,73002,3,57,82,2,"['TAGLN', 'ACTA2']",1.0,"['TAGLN', 'ACTA2', 'TPM2', 'MCAM', 'MYL9', 'ADIRF', 'RBPMS', 'FLNA', 'MYH11', 'VIM']",nc4ere1aa4uj
123,VLMC_2,626,0.876753507,0.7,0.935828877,72620,24,150,350,2,"['SLC19A1', 'COLEC12']",0.5459851027,"['SLC19A1', 'COLEC12', 'SLC6A13', 'SLC12A7', 'SLC6A12', 'PTH1R', 'CARMN', 'NOTCH3', 'GJC1', 'ITIH5']",y309pu0k7gip
124,Vip_1,11670,0.4007633588,0.252,0.4701492537,72502,142,374,126,3,"['FLT1', 'LRRC1', 'SHISA8']",0.0757227689,"['LCNL1', 'FLT1', 'IGFBP5', 'LRRC1', 'SHISA8', 'TBL1X', 'RNF144B', 'TSHZ2', 'CHN2', 'TMEM163']",yogl18k907w9
125,Vip_2,2864,0.474137931,0.242,0.6237113402,72571,73,379,121,4,"['IGFBP5', 'SLC22A3', 'PTGDS', 'VIP']",0.05969395489,"['SCTR', 'FLT1', 'IGFBP5', 'PTHLH', 'SLC22A3', 'PTGDS', 'TAC3', 'CCNG2', 'SHISA8', 'SVEP1']",quxt3e3nb3e7
126,Vip_3,3298,0.4025,0.322,0.4293333333,72430,214,339,161,3,"['HPSE2', 'TRPC6', 'VIP']",0.04343667626,"['PPP1R1C', 'HPSE2', 'TRPC6', 'EYA4', 'HTR4', 'OPRM1', 'CALB2', 'PLCE1', 'ADRA1B', 'MYO16']",5cgnsnw92v5q
127,Vip_4,4123,0.546875,0.238,0.8095238095,72616,28,381,119,3,"['WNT5A', 'ABI3BP', 'VCAN']",0.1754690856,"['WNT5A', 'NKAIN1', 'ABI3BP', 'SMOC1', 'VCAN', 'LINC00299', 'VIP', 'PCP4', 'ARHGEF28', 'EGFEM1P']",f7z13qv6x3e5
128,Vip_5,3529,0.4801324503,0.232,0.6553672316,72583,61,384,116,3,"['LINC01630', 'IQGAP2', 'THSD4']",0.05891306698,"['FAM126A', 'LINC01630', 'IQGAP2', 'THSD4', 'TAC3', 'MEGF11', 'PCSK6', 'GPR149', 'TPD52L1', 'CA10']",x5lr0bq6estz
129,Vip_6,1599,0.5082179931,0.47,0.5187637969,72426,218,265,235,3,"['SMOC1', 'IQGAP2', 'PARD3B']",0.06690496951,"['ABI3BP', 'NRP2', 'SMOC1', 'PBX3', 'IQGAP2', 'PARD3B', 'MCUB', 'NTNG1', 'ANKFN1', 'EGFEM1P']",ayxpu3tr2pnn
130,Vip_7,1524,0.4005934718,0.216,0.5094339623,72540,104,392,108,4,"['CCN2', 'PCDH18', 'SEMA3C', 'HPSE2']",0.08832390606,"['EGF', 'CCN2', 'PCDH18', 'SEMA3C', 'DACH2', 'HPSE2', 'ARHGAP42', 'PRELID2', 'THSD7B', 'SRGAP1']",gnu10hdvh857
131,Vip_8,1481,0.3183962264,0.162,0.4196891192,72532,112,419,81,3,"['VWDE', 'WSCD1', 'DACH2']",0.08570922166,"['TEK', 'VWDE', 'EGF', 'WSCD1', 'DACH2', 'GALNT10', 'PLPP4', 'RASL10A', 'THSD7B', 'CMTM8']",4tnhzp0v3jbv
132,Vip_9,2524,0.4830210773,0.33,0.5463576159,72507,137,335,165,4,"['SLC7A11', 'TNS3', 'PPP1R1C', 'COBLL1']",0.07960610092,"['LINC01170', 'SLC7A11', 'NPR3', 'TNS3', 'PPP1R1C', 'COBLL1', 'KCNG2', 'ARHGAP24', 'HTR4', 'RNF144B']",yg6csu7u8i0n
133,Vip_10,1443,0.5405405405,0.32,0.6530612245,72559,85,340,160,3,"['ABI3BP', 'KCNG2', 'PARD3B']",0.05019134656,"['ABI3BP', 'LINC00298', 'STK32B', 'KCNG2', 'PARD3B', 'LINC00299', 'ADAMTS6', 'THSD7B', 'SEMA5A', 'NTNG1']",kisldiib0of0
134,Vip_11,5892,0.4352367688,0.25,0.5341880342,72535,109,375,125,4,"['ABI3BP', 'MCTP2', 'SLC22A3', 'PROS1']",0.07843210548,"['HS3ST3A1', 'ABI3BP', 'MCTP2', 'SLC22A3', 'PROS1', 'SMOC1', 'PDLIM5', 'IQGAP2', 'TAC3', 'ARHGEF28']",ac81e385kbo7
135,Vip_12,1286,0.5889057751,0.31,0.7598039216,72595,49,345,155,3,"['SLC7A11', 'HCRTR2', 'EPS8']",0.06585239619,"['TUBA1C', 'LINC00836', 'PDE11A_ENSG00000128655', 'SLC7A11', 'HCRTR2', 'EPS8', 'KIT', 'CHRNA7', 'NCKAP5', 'MLIP']",kj2vbvvrfom4
136,Vip_13,1226,0.4277663934,0.334,0.4600550964,72448,196,333,167,3,"['ST18', 'PTGDS', 'VIP']",0.04810385406,"['DIRAS3', 'PTH2R', 'ST18', 'VWDE', 'PTHLH', 'PTGDS', 'CCNG2', 'SHISA8', 'VIP', 'MARCKSL1']",vdvtkqdkq8s6
137,Vip_14,1220,0.5968468468,0.318,0.7644230769,72595,49,341,159,4,"['ST18', 'KCNH8', 'CA10', 'VIP']",0.05660551786,"['HS3ST3B1', 'PTH2R', 'ST18', 'VWDE', 'KCNH8', 'CA10', 'ROR1', 'THSD7B', 'TAFA1', 'PDE3A']",nc6j18olyx4d
138,Vip_15,1214,0.6172360248,0.318,0.807106599,72606,38,341,159,2,"['SVIL', 'VIP']",0.04200898111,"['ITGBL1', 'LINC01470', 'ST8SIA6', 'SERTM1', 'ADAM12', 'SVIL', 'VIP', 'CNR1', 'VWC2L', 'SLITRK4']",drju36wgwpby
139,Vip_16,1196,0.38,0.152,0.608,72595,49,424,76,4,"['NDST4', 'SEMA3C', 'HTR2C', 'VIP']",0.0590791516,"['NDST4', 'SEMA3C', 'HTR2C', 'CHD7', 'KCNJ2', 'KMO', 'PTN', 'PLPP4', 'DACH2', 'ADAMTSL1']",0p5t489wsnb6
140,Vip_17,1190,0.6040502793,0.346,0.7424892704,72584,60,327,173,2,"['PENK', 'PARD3B']",0.1228725091,"['PENK', 'GFRA1', 'SCN7A', 'NRP2', 'HTR2C', 'PARD3B', 'VIP', 'ADAMTSL1', 'THSD7B', 'PDGFC']",gglx3wi7mc6m
141,Vip_18,2119,0.3895348837,0.134,0.7444444444,72621,23,433,67,3,"['NOX4', 'RXRG', 'NDST4']",0.1049426645,"['NOX4', 'RXRG', 'NDST4', 'ANGPT1', 'PLPP4', 'CRH', 'VIP', 'CALB2', 'ARHGEF28', 'ADRA1B']",0zd6hewn8d9z
142,Vip_19,3549,0.5353075171,0.376,0.5987261146,72518,126,312,188,3,"['CBLN1', 'HTR2C', 'VIP']",0.06045111641,"['CBLN1', 'SCTR', 'SLC22A3', 'HTR2C', 'DCN', 'TAC3', 'TSHZ2', 'GULP1', 'IL1RAPL2', 'RELN']",fs7rmmy2pfzm
143,Vip_20,1881,0.3658536585,0.24,0.4210526316,72479,165,380,120,4,"['CBLN1', 'VIPR2', 'PPP1R1C', 'VIP']",0.08607778698,"['NKAIN1', 'CBLN1', 'HS3ST3A1', 'VIPR2', 'PPP1R1C', 'SMOC1', 'TAC3', 'TRPC6', 'GPR149', 'LAMA3']",w7v13od4se41
144,Vip_21,1000,0.6180811808,0.268,0.9178082192,72632,12,366,134,2,"['ALDH1A2', 'ROR2']",0.333299607,"['SSTR1', 'ALDH1A2', 'PENK', 'ROR2', 'BCHE', 'PTGFR', 'FAM133A', 'NPNT', 'RGMA', 'BMP6']",v3wkktjktys0
145,Vip_22,969,0.5279126214,0.348,0.606271777,72531,113,326,174,3,"['ABI3BP', 'SLC7A11', 'EDNRA']",0.0968509391,"['ABI3BP', 'SLC7A11', 'NPR3', 'EDNRA', 'KCNG2', 'GPR149', 'PCP4', 'GULP1', 'NEAT1', 'ADAMTS17']",dv24o7ey6cc6
146,Vip_23,3717,0.5425126904,0.342,0.6356877323,72546,98,329,171,3,"['KCNH8', 'EDNRA', 'KMO']",0.05450377613,"['SCML4', 'TSPAN11', 'COL9A1', 'KCNH8', 'EDNRA', 'KMO', 'TBL1X', 'RNF144B', 'NCKAP5', 'TAFA1']",hk86uaopvape
147,Vip_24,742,0.3627622378,0.166,0.5155279503,72566,78,417,83,3,"['LYPD1', 'ENHO', 'CHRNA2']",0.09659664333,"['LYPD1', 'NPR3', 'ENHO', 'PPP1R1C', 'KCNG2', 'CHRNA2', 'CRH', 'CALB2', 'B3GALT2', 'MT-ND5']",tlqli1ybnf0e
148,Vip_25,4778,0.5275229358,0.276,0.6831683168,72580,64,362,138,3,"['NOX4', 'IQGAP2', 'CBLN4']",0.06703069061,"['EREG', 'NOX4', 'IQGAP2', 'RGS8', 'CBLN4', 'LYPD6', 'FBN2', 'ITGA8', 'CMTM8', 'B3GLCT']",lity1z265yc7
149,Vip_26,601,0.594795539,0.256,0.8888888889,72628,16,372,128,4,"['SEMA3C', 'LINC01630', 'HPSE2', 'TAC3']",0.06442451477,"['DDR2', 'SEMA3C', 'LINC01630', 'HPSE2', 'MEGF11', 'TAC3', 'DACH2', 'OCA2', 'CMTM8', 'ANKFN1']",0a2hvx9yg5z3
150,Vip_27,489,0.5466778806,0.2658486708,0.7428571429,72610,45,359,130,4,"['DACH2', 'CHRNA7', 'MIR4500HG', 'VIP']",0.03746209666,"['PBX3', 'DACH2', 'GALNT10', 'FBN2', 'CHRNA7', 'MIR4500HG', 'THSD7B', 'PRELID2', 'SRGAP1', 'EGFEM1P']",p383w6z4srjd
151,Vip_28,189,0.376344086,0.1851851852,0.5072463768,72921,34,154,35,2,"['HTR2C', 'DCN']",0.06298408657,"['LGR5', 'BCHE', 'STK32B', 'HTR2C', 'DCN', 'PLPP4', 'NRP1', 'ITGA8', 'GULP1', 'SEMA5A']",x0m61b7ohnmh
152,Vip_29,71,0.4918032787,0.2535211268,0.6428571429,73063,10,53,18,5,"['IQGAP2', 'KCNJ2', 'TAC1', 'MYO5B', 'VIP']",0.02957322635,"['KLHDC8A', 'IQGAP2', 'RGS8', 'KCNJ2', 'TAC1', 'MYO5B', 'EYS', 'CUX2', 'LHX6', 'SOX6']",a6j79ac9d1zv
