,PMID,PMCID,DOI,mapping_method,uberon_entity_term,uberon_entity_id,author_category,dataset_source,collection_id,collection_version_id,dataset_id,dataset_version_id,author_cell_term,author_cell_set,match,cell_ontology_term,cell_ontology_id,uuid
11,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Alveolar fibroblast 2,Alveolar fibroblast 2,skos:exactMatch,alveolar type 2 fibroblast cell,http://purl.obolibrary.org/obo/CL_4028006,22gmvjs1ad73
12,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Alveolar fibroblast 1,Alveolar fibroblast 1,skos:exactMatch,alveolar type 1 fibroblast cell,http://purl.obolibrary.org/obo/CL_4028004,y4obj9cegnf0
13,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Pericyte,Pericyte,skos:exactMatch,lung pericyte,http://purl.obolibrary.org/obo/CL_0009089,c8hmxsxwdddx
14,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Vascular smooth muscle cell,Vascular smooth muscle cell,skos:exactMatch,smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000192,p6l42jyatu9x
15,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Systemic venous endothelial cell,Systemic venous endothelial cell,skos:exactMatch,vein endothelial cell,http://purl.obolibrary.org/obo/CL_0002543,c4m9ova516xp
16,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Arterial endothelial cell,Arterial endothelial cell,skos:exactMatch,"pulmonary artery endothelial cell
",http://purl.obolibrary.org/obo/CL_1001568,6qm9gwredw7z
17,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Venous endothelial cell,Venous endothelial cell,skos:exactMatch,vein endothelial cell of respiratory system,http://purl.obolibrary.org/obo/CL_4033008,dkxcty7eh31e
18,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Capillary 2 cell,Capillary 2 cell,skos:broadMatch,alveolar capillary type 2 endothelial cell,http://purl.obolibrary.org/obo/CL_4028003,9y4myove8a6m
19,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Capillary 1 cell,Capillary 1 cell,skos:broadMatch,alveolar capillary type 1 endothelial cell,http://purl.obolibrary.org/obo/CL_4028002,600ys541dsnp
20,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Suprabasal cell,Suprabasal cell,skos:exactMatch,respiratory suprabasal cell,http://purl.obolibrary.org/obo/CL_4033048,xiu89s697gub
21,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Serous cell,Serous cell,skos:exactMatch,tracheobronchial serous cell,http://purl.obolibrary.org/obo/CL_0019001,m42ep0jnlp64
22,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Alveolar type 2 cell,Alveolar type 2 cell,skos:exactMatch,type II pneumocyte,http://purl.obolibrary.org/obo/CL_0002063,iym067x4z7w2
23,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,SMG Basal/Duct cell,SMG Basal/Duct cell,skos:exactMatch,airway submucosal gland duct basal cell,http://purl.obolibrary.org/obo/CL_4033024,hipi211yusow
24,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Alveolar type 1 cell,Alveolar type 1 cell,skos:exactMatch,type I pneumocyte,http://purl.obolibrary.org/obo/CL_0002062,4vuzypulv30d
25,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Ionocyte,Ionocyte,skos:exactMatch,ionocyte,http://purl.obolibrary.org/obo/CL_0005006,r0p7ovuw3qs5
26,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Pulmonary neuroendocrine cell,Pulmonary neuroendocrine cell,skos:exactMatch,lung neuroendocrine cell,http://purl.obolibrary.org/obo/CL_1000223,rnpzll0inmx4
27,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Ciliated cell,Ciliated cell,skos:exactMatch,ciliated columnar cell of tracheobronchial tree,http://purl.obolibrary.org/obo/CL_0002145,6w4qj2pdk3ij
28,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Classical DC subset 2,Classical DC subset 2,skos:exactMatch,"CD1c-positive myeloid dendritic cell
",http://purl.obolibrary.org/obo/CL_0002399,qqcugjhbbzqn
29,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Classical DC subset 1,Classical DC subset 1,skos:exactMatch,conventional dendritic cell,http://purl.obolibrary.org/obo/CL_0000990,k11ynuv582wu
30,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Mature DC subset,Mature DC subset,skos:exactMatch,lung migratory dendritic cell,http://purl.obolibrary.org/obo/CL_4033045,55b4m26qu14e
31,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Inflammatory monocyte,Inflammatory monocyte,skos:exactMatch,classical monocyte,http://purl.obolibrary.org/obo/CL_0000860,wo29h5t07w8r
32,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Interstitial macrophage,Interstitial macrophage,skos:exactMatch,lung interstitial macrophage,http://purl.obolibrary.org/obo/CL_4033043,j8iqz6m1effj
33,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Secondary crest myofibroblast,Secondary crest myofibroblast,skos:exactMatch,myofibroblast cell,http://purl.obolibrary.org/obo/CL_0000186,hn5gs3b6ay4o
34,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Airway smooth muscle cell,Airway smooth muscle cell,skos:exactMatch,"respiratory system smooth muscle",http://purl.obolibrary.org/obo/UBERON_0004225,zybdgaoo331g
35,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Basal cell,Basal cell,skos:exactMatch,respiratory basal cell,http://purl.obolibrary.org/obo/CL_0002633,ddvizeobsg6l
36,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Tuft cell,Tuft cell,skos:exactMatch,"brush cell
",http://purl.obolibrary.org/obo/CL_0002204,usacg1m4refo
37,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Mucous cell,Mucous cell,skos:exactMatch,"Any secretory cell that is capable of some mucus secretion.",http://purl.obolibrary.org/obo/CL_0000319,doy0loo6o21l
38,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Respiratory airway secretory cell,Respiratory airway secretory cell,skos:exactMatch,epithelial cell of lower respiratory tract,http://purl.obolibrary.org/obo/CL_0002632,nh4n682x95py
39,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Goblet cell,Goblet cell,skos:exactMatch,club cell,http://purl.obolibrary.org/obo/CL_0000158,tl0ypyt6rg57
40,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Deuterosomal cell,Deuterosomal cell,skos:exactMatch,deuterosomal cell,http://purl.obolibrary.org/obo/CL_4033044,derayn6jc9eh
41,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Neutrophil,Neutrophil,skos:exactMatch,neutrophil,http://purl.obolibrary.org/obo/CL_0000775,39velgoeotpx
42,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Megakaryocyte/Platelet,Megakaryocyte/Platelet,skos:exactMatch,platelet,http://purl.obolibrary.org/obo/CL_0000233,jz5vfjesko7d
43,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,T regulatory cell,T regulatory cell,skos:exactMatch,regulatory T cell,http://purl.obolibrary.org/obo/CL_0000815,ovju6jgtvlco
44,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Innate lymphoid cell,Innate lymphoid cell,skos:exactMatch,innate lymphoid cell,http://purl.obolibrary.org/obo/CL_0001065,cmhi1ws8mmmo
45,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Chondrocyte,Chondrocyte,skos:exactMatch,chondrocyte,http://purl.obolibrary.org/obo/CL_0000138,g2onmf5dhw2a
46,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Myoepithelial cell,Myoepithelial cell,skos:exactMatch,myoepithelial cell,http://purl.obolibrary.org/obo/CL_0000185,e0gupiibt8d4
47,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Secretory cell,Secretory cell,skos:exactMatch,secretory cell,http://purl.obolibrary.org/obo/CL_0000151,oewvfozlbqma
