,clusterName,clusterSize,f_score,precision,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,uuid
23,EC arterial,7391,0.7092710715,0.8065693431,576705,848,3855,3536,1,['DKK2'],"['DKK2', 'GJA5', 'HEY1', 'EFNB2', 'IGFBP3', 'CXCL12', 'FAM107A', 'PTPRB', 'SRPX', 'TMEM100']",nlsoh49xj8yt
24,EC aerocyte capillary,7157,0.8346962443,0.8482925355,576783,1004,1543,5614,1,['EDNRB'],"['SOSTDC1', 'S100A3', 'FRY', 'B3GALNT1', 'PRX', 'EDNRB', 'IL1RL1', 'EMCN', 'CA4', 'ICAM2']",vkn877q85qi9
25,EC general capillary,16048,0.7813952657,0.8766422626,567666,1230,7307,8741,2,"['FCN3', 'CA4']","['SLC6A4', 'BTNL9', 'FCN3', 'CA4', 'CD36', 'TMEM100', 'RAMP3', 'IL7R', 'HYAL2', 'RAMP2']",k3efbulfjaf4
26,EC venous systemic,6557,0.6298217911,0.7155304972,577277,1110,3765,2792,2,"['PLVAP', 'EMCN']","['PLVAP', 'ADGRL4', 'ACKR1', 'EMCN', 'SNCG', 'VWF', 'DUSP23', 'GNG11', 'SPARCL1', 'EPAS1']",fhauhvnw7ffu
27,EC venous pulmonary,6418,0.7358505756,0.7937472861,577576,950,2762,3656,2,"['ACKR1', 'SRPX']","['PLA1A', 'CCL23', 'RGS5_ENSG00000143248', 'PLAT', 'ACKR1', 'SRPX', 'PTPRB', 'SLCO2A1', 'VWF', 'RAMP3']",bekpfj5rv32v
28,Lymphatic EC mature,4001,0.8830877479,0.8875224187,580504,439,537,3464,1,['CCL21'],"['TM4SF18', 'VPS35L', 'CCL21', 'MMRN1', 'SNCG', 'PPFIBP1', 'NRP2', 'AKAP12', 'PDPN', 'GNG11']",8tetvwzgzo0y
29,Lymphatic EC proliferating,28,0.7291666667,0.8235294118,584913,3,14,14,2,"['CENPF', 'CCL21']","['PIMREG', 'PBK', 'CCNA2', 'CENPF', 'CCL21', 'TYMS', 'MMRN1', 'PROX1', 'BIRC5', 'UBE2C']",2izro0uktlox
30,Lymphatic EC differentiating,566,0.4211663067,0.8666666667,584366,12,488,78,2,"['SEMA3D', 'KALRN']","['SEMA3D', 'PKHD1L1', 'DOCK5', 'KALRN', 'MAF', 'NR2F1', 'PROX1', 'UTRN', 'NRP2', 'PPFIBP1']",bwzwwf5ddyli
31,Peribronchial fibroblasts,1573,0.5780037463,0.7985212569,583262,109,1141,432,2,"['DPT', 'APOD']","['CXCL14', 'DPT', 'ASPN', 'LTBP2', 'CTSK', 'APOD', 'LTBP1', 'DKK3', 'LUM', 'CFH']",daiq5hl94hnu
32,Alveolar fibroblasts,5182,0.6994959815,0.8648421053,579441,321,3128,2054,2,"['AOC3', 'LUM']","['SCN7A', 'GPC3', 'ANGPT1', 'TCF21', 'AOC3', 'LUM', 'MACF1', 'CCN1', 'ADH1B', 'MFAP4']",2nsgqf1nsagb
33,Pericytes,3032,0.8420402736,0.9461045891,581811,101,1259,1773,2,"['HIGD1B', 'KCNK3']","['LAMC3', 'HIGD1B', 'NDUFA4L2', 'FAM162B', 'RGN', 'KCNK3', 'COX4I2', 'COL4A1', 'PTN', 'COL4A2']",u8mx2xc593d8
34,Myofibroblasts,716,0.4752994012,0.8193548387,584200,28,589,127,3,"['ASPN', 'DKK3', 'BCHE']","['ITGBL1', 'ASPN', 'LTBP2', 'DKK3', 'BCHE', 'LTBP1', 'PRELP', 'CFH', 'ACTA2', 'TAGLN']",dsax8d46lu2w
35,Smooth muscle,2996,0.6908067051,0.6875203649,580989,959,886,2110,2,"['ACTA2', 'TAGLN']","['LMOD1', 'ACTG2', 'CNN1', 'MYH11', 'ACTA2', 'TAGLN', 'PPP1R14A', 'PLAC9', 'MYL9', 'TPM2']",ayzu16n3q1fc
36,Subpleural fibroblasts,276,0.6034482759,0.9210526316,584662,6,206,70,2,"['WT1', 'CXCL12']","['WT1', 'VCAM1', 'CADM3', 'CXCL12', 'ALDH1A3', 'PTN', 'EGFL6', 'COL1A1', 'CLDN1', 'APOE']",pycxd5gc75li
37,Adventitial fibroblasts,10321,0.8490243067,0.932735426,574158,465,3873,6448,2,"['SCARA5', 'CD248']","['SCARA5', 'MFAP5', 'PODN', 'FBN1', 'PI16', 'CD248', 'SFRP2', 'FBLN2', 'OGN', 'MEDAG']",7h435b9wv8lc
38,Smooth muscle FAM83D+,335,0.7732864675,0.7696793003,584530,79,71,264,1,['ACTG2'],"['FAM83D', 'SBSPON', 'DES', 'ACTG2', 'CNN1', 'BCHE', 'SMOC2', 'MYLK', 'ACTA2', 'TAGLN']",fszpnm4upees
39,Mesothelium,230,0.8872901679,0.9801324503,584711,3,82,148,2,"['CALB2', 'PRG4']","['ITLN1', 'CALB2', 'PRG4', 'CFB', 'TFPI2', 'UPK3B', 'HP', 'MSLN', 'PLA2G2A', 'CLDN1']",wnykahkh8mqq
40,SM activated stress response,556,0.5833333333,0.7250996016,584319,69,374,182,2,"['RERGL', 'C11orf96']","['RERGL', 'IER5L', 'C11orf96', 'ADAMTS1', 'MCAM', 'PLN', 'ATF3', 'NR4A1', 'TAGLN', 'HSPA1B']",b5rqfbxkgy9u
41,Hematopoietic stem cells,60,0.664893617,0.78125,584877,7,35,25,2,"['CYTL1', 'FAM30A']","['PRSS57', 'SMIM24', 'CYTL1', 'SPINK2', 'FAM30A', 'FAM117A', 'CDK6', 'GIHCG', 'CAT', 'MEST']",llmvpqcmrym1
42,B cells,4511,0.8569743825,0.9732142857,580361,72,1895,2616,2,"['MS4A1', 'CD79A']","['MS4A1', 'BANK1', 'CD79A', 'LTB', 'IGKC', 'MEF2C', 'CD83', 'CXCR4', 'HLA-DQA1', 'CD37']",p1t3fcmrl4ln
43,CD4 T cells,21285,0.5941352882,0.6635653145,559139,4520,12370,8915,2,"['LTB', 'CD3D']","['TRAC', 'LTB', 'CD2', 'CD3E', 'CD3D', 'IL7R', 'IL32', 'CD69', 'CXCR4', 'HCST']",0lgje3qmrqc3
44,Plasma cells,1773,0.9057371836,0.9356110381,583073,98,349,1424,1,['JCHAIN'],"['TNFRSF17', 'IGHA1', 'CD27', 'POU2AF1', 'MZB1', 'JCHAIN', 'DERL3', 'IGKC', 'CD79A', 'FKBP11']",98ffdknpr1xc
45,T cells proliferating,500,0.7258064516,0.8744939271,584413,31,284,216,4,"['CD3G', 'MKI67', 'PCLAF', 'CD3D']","['CD3G', 'LCK', 'RRM2', 'MKI67', 'PCLAF', 'CD3D', 'CD3E', 'TYMS', 'HMGB2', 'BIRC5']",aq0xsz42k11b
46,CD8 T cells,29074,0.7584221748,0.8067954999,551611,4259,11289,17785,2,"['CCL5', 'CD3D']","['TRAC', 'CCL5', 'CD7', 'CD3D', 'CD2', 'CTSW', 'NKG7', 'TRBC2', 'CD3E', 'GZMA']",ccbgc5b8qxoi
47,NK cells,16978,0.7891496323,0.9001705629,566971,995,8006,8972,2,"['KLRF1', 'PRF1']","['GNLY', 'KLRF1', 'FGFBP2', 'KLRD1', 'KLRB1', 'PRF1', 'CD247', 'SPON2', 'CTSW', 'CD7']",woqx5rebozga
48,DC1,322,0.7704160247,0.8196721311,584578,44,122,200,2,"['CLEC9A', 'DNASE1L3']","['CLEC9A', 'C1orf54', 'WDFY4', 'DNASE1L3', 'HLA-DOB', 'IDO1', 'CLNK', 'CPNE3', 'IRF8', 'CPVL']",v5noa4jc17c6
49,DC2,9133,0.5323845634,0.8102766798,575331,480,7083,2050,2,"['CLEC10A', 'HLA-DQA1']","['CLEC10A', 'RGS1', 'GPR183', 'MS4A6A', 'HLA-DQA1', 'C1QB', 'C1QA', 'HLA-DQB1', 'CD68', 'HLA-DPB1']",szbs67dgyh06
50,Migratory DCs,312,0.5014326648,0.5166051661,584501,131,172,140,1,['CCL22'],"['CCL22', 'CCR7', 'RASSF4', 'TBC1D4', 'CCL17', 'GPR157', 'LAD1', 'CSF2RA', 'FSCN1', 'DAPP1']",x1bfswxipnin
51,Plasmacytoid DCs,552,0.7175226586,0.9844559585,584389,3,362,190,2,"['LILRA4', 'MZB1']","['LILRA4', 'PLD4', 'IRF7', 'SCT', 'IL3RA', 'MZB1', 'JCHAIN', 'UGCG', 'GZMB', 'IRF8']",sv3h7ciytymp
52,Alveolar macrophages,68487,0.8019523805,0.8203225439,505416,11041,18079,50408,2,"['MSR1', 'FABP4']","['INHBA', 'PARAL1', 'MSR1', 'RP11-598F7.3', 'FABP4', 'FBP1', 'MARCO', 'ACP5', 'APOC1', 'C1QB']",ezht7dve82tw
53,Alveolar Mph CCL3+,8065,0.6722647567,0.8939244663,576556,323,5343,2722,2,"['TNIP3', 'CXCL5']","['TNIP3', 'CCL4L2', 'CCL20', 'TNFAIP6', 'CXCL5', 'ITGB8', 'TRGC1', 'MIR3945HG', 'IL1B', 'CCL4']",ox2h8pxi2z5y
54,Alveolar Mph proliferating,1061,0.2585521082,0.2488514548,582902,981,736,325,4,"['PCLAF', 'RRM2', 'UBE2C', 'NUSAP1']","['PCLAF', 'RRM2', 'MKI67', 'UBE2C', 'CDK1', 'NUSAP1', 'BIRC5', 'TOP2A', 'TYMS', 'FABP4']",au8eojmev986
55,Alveolar Mph MT-positive,1203,0.4091084523,0.6109510086,583606,135,991,212,2,"['HMOX1', 'HPGD']","['MT1G', 'KCNMA1', 'MT1F', 'HMOX1', 'HPGD', 'EFHD2', 'MT1X', 'MT1E', 'RAB11FIP1', 'CSTB']",h8ze152t8pam
56,Interstitial Mph perivascular,4805,0.4635482512,0.6232294618,579474,665,3705,1100,3,"['F13A1', 'STAB1', 'FCGR2B']","['F13A1', 'STAB1', 'FCGR2B', 'CSF1R', 'TGFBI', 'RNASE6', 'CD14', 'CD163', 'MS4A6A', 'MRC1']",kq2559k9r2hs
57,Classical monocytes,17695,0.7743579186,0.8895348837,566128,1121,8668,9027,2,"['S100A12', 'FCN1']","['S100A12', 'CD300E', 'EREG', 'FCN1', 'VCAN', 'CFP', 'S100A8', 'THBS1', 'MNDA', 'S100A9']",cs6u8phxt6o7
58,Mast cells,6623,0.9641718537,0.9654910307,578094,227,272,6351,1,['TPSAB1'],"['TPSAB1', 'TPSB2', 'CPA3', 'MS4A2', 'HPGDS', 'SLC18A2', 'RGS13', 'RHEX', 'HDC', 'VWA5A']",zj7ihnikq10q
59,Monocyte-derived Mph,28223,0.3677815904,0.3604658583,536678,20043,16926,11297,2,"['C15orf48', 'CD68']","['OLR1', 'ACP5', 'MRC1', 'C15orf48', 'C1QB', 'CD68', 'C1QA', 'PLAUR', 'HLA-DQA1', 'CTSB']",r8bqf7k0tt4t
60,Non-classical monocytes,8834,0.4608329018,0.5475719622,574051,2059,6342,2492,2,"['LILRB2', 'LILRB1']","['LILRB2', 'LILRA5', 'LILRB1', 'FCN1', 'CFP', 'FGL2', 'FCGR3A', 'LIPA', 'LST1', 'AIF1']",di8ez8etvb1a
