,clusterName,clusterSize,f_score,precision,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,uuid
0,Basal resting,38955,0.7460743149,0.7476458533,536261,9728,10134,28821,2,"['KRT15', 'KRT17']","['DLK2', 'KRT15', 'ALDH3A2', 'LAMB3', 'KRT17', 'KRT5', 'ADH7', 'S100A2', 'BCAM', 'IGFBP2']",eub79zlf0z0j
1,Suprabasal,41158,0.6243623403,0.6936824605,535679,8107,22799,18359,3,"['TNC', 'KRT15', 'SERPINB4']","['SERPINB13', 'KRT6A', 'SERPINB5', 'TNC', 'KRT15', 'SERPINB4', 'KRT5', 'KRT17', 'CLCA2', 'S100A2']",81nz8j03q6du
2,Deuterosomal,1004,0.7072368421,0.8447937132,583861,79,574,430,2,"['CDC20B', 'CEP78']","['CDC20B', 'PLK4', 'DEUP1', 'E2F7', 'CEP78', 'POGLUT3', 'USP13', 'RPL39L', 'CCNO', 'CDC20']",umodwbwi8z2c
3,Hillock-like,4600,0.6550820113,0.7586609576,579724,620,2651,1949,2,"['KRT14', 'KRT6A']","['KRT14', 'KRT16', 'DSG3', 'DSC3', 'KRT13', 'KRT6A', 'KRT5', 'SFN', 'S100A2', 'KRT17']",uc9tscl57ws3
4,Multiciliated (nasal),4869,0.5875605404,0.8017391304,579733,342,3486,1383,3,"['FMO3', 'MRLN', 'OMG']","['FMO3', 'MRLN', 'MPV17L', 'DIAPH2', 'OMG', 'RP11-356K23.1', 'PROM1', 'ARL3', 'MS4A8', 'LYPD2']",5wlvlh8rug6j
5,Club (non-nasal),9955,0.6821793111,0.7456579335,573261,1728,4889,5066,2,"['CYP2F1', 'SCGB1A1']","['CXCL6', 'CYP2F1', 'CLCA2', 'TSPAN8', 'SCGB1A1', 'MUC5B', 'MSMB', 'TGM2', 'KLK11', 'SCGB3A1']",rewcohmk81cc
6,Multiciliated (non-nasal),35225,0.8584199964,0.9243614931,547794,1925,11700,23525,2,"['C1orf194', 'MS4A8']","['CFAP157', 'CCDC78', 'SNTN', 'DYNLRB2', 'C1orf194', 'MS4A8', 'CAPSL', 'DNAH12', 'C9orf24', 'RSPH1']",mkcucfbbhexu
7,Club (nasal),26068,0.4335272894,0.4507217064,546927,11949,16263,9805,2,"['TFCP2L1', 'PSCA']","['UGT2A1', 'ASRGL1', 'LYPD2', 'TFCP2L1', 'PSCA', 'TPD52L1', 'ALDH3A1', 'SERPINB3', 'LCN2', 'EPAS1']",dku1k58bsd1w
8,Goblet (subsegmental),968,0.6083844581,0.963562753,583967,9,730,238,2,"['MTRNR2L8', 'SCGB1A1']","['MTRNR2L10', 'MTRNR2L8', 'TSPAN8', 'MUC5B', 'SCGB1A1', 'SCGB3A1', 'MTRNR2L12', 'C3_ENSG00000125730', 'CXCL17', 'AGR2']",dnhjvx6m6u7i
9,Goblet (bronchial),1670,0.5542521994,0.8689655172,583217,57,1292,378,2,"['PLCG2', 'ANKRD36C']","['SLC26A4', 'RIMS1', 'PLCG2', 'ANKRD36C', 'SAA2', 'SAA1', 'MUC5AC', 'MUC5B', 'SCGB1A1', 'RARRES1']",je5wgw80x1g7
10,AT0,1440,0.2763728324,0.4608433735,583325,179,1287,153,3,"['HSD17B6', 'XIST', 'SCGB3A2']","['HSD17B6', 'XIST', 'SCGB3A2', 'SFTPA2', 'SFTPA1', 'NAPSA', 'HSD17B11', 'AGR3', 'GPRC5A', 'SFTPC']",mdiv7rjs0r81
11,Goblet (nasal),35833,0.806904283,0.9026950102,546923,2188,15535,20298,2,"['LYPD2', 'MUC5AC']","['CEACAM5', 'LYNX1', 'LYPD2', 'PI3', 'MUC5AC', 'BPIFA1', 'PSCA', 'MUC16', 'MUC4', 'S100P']",9b5yn9tk9yud
12,pre-TB secretory,4393,0.7313153743,0.7871069182,579874,677,1890,2503,2,"['SCGB1A1', 'SFTPB']","['KLK10', 'TMEM45A', 'SCGB3A2', 'SFTA1P', 'SCGB1A1', 'SFTPB', 'APOD', 'KLK11', 'SCGB3A1', 'FOLR1']",6w9m8byciecc
13,Ionocyte,561,0.8159102499,0.9142857143,584353,30,241,320,2,"['ASCL3', 'BSND']","['ASCL3', 'BSND', 'FOXI1', 'CLCNKB', 'ATP6V1G3', 'LINC01187', 'STAP1', 'DGKI', 'CFTR', 'CLCNKA']",jhaeijtjhvrb
14,Tuft,165,0.5591397849,0.6933333333,584756,23,113,52,3,"['POU2F3', 'HOMER3', 'MYB']","['NREP', 'IRAG2', 'POU2F3', 'MEX3A', 'HOMER3', 'MYB', 'RASSF6', 'KIT', 'CRYM', 'HES6']",9so2mkb23zxa
15,Neuroendocrine,159,0.9388335704,0.9705882353,584781,4,27,132,2,"['CHGA', 'GRP']","['CHGA', 'GRP', 'ASCL1', 'CALCA', 'KIF1A', 'SCG5', 'SCG3', 'SCGN', 'PCSK1N', 'PHGR1']",d6yf8ldr3ejm
16,SMG serous (nasal),1472,0.9196224256,0.931884058,583378,94,186,1286,1,['STATH'],"['STATH', 'MUC7', 'ODAM', 'SIX3-AS1', 'GJC3', 'PIP', 'C6orf58', 'S100A1', 'ZG16B', 'LTF']",0dixhqq8275s
17,SMG serous (bronchial),1417,0.7529018922,0.7775041051,583256,271,470,947,2,"['PRR4', 'C6orf58']","['PRB3', 'LINC01829', 'PRR4', 'S100A1', 'C6orf58', 'PIP', 'APIP', 'LTF', 'SLC12A2', 'ZG16B']",m0gwoyetx4u0
18,SMG mucous,537,0.9347408829,0.9419729207,584377,30,50,487,1,['BPIFB2'],"['BPIFB2', 'NKX3-1', 'TFF1', 'HMGCS2', 'GLYATL2', 'DEFB1', 'FAM3B', 'GOLM1', 'FGGY', 'MUC5B']",9gr7k1xtotdc
19,AT1,7937,0.8511396952,0.8615158401,575971,1036,1492,6445,1,['AGER'],"['AGER', 'RTKN2', 'TNNC1', 'SCEL', 'ANKRD29', 'AQP4', 'UPK3B', 'GPRC5A', 'CEACAM6', 'HOPX']",3lnwrduodmsw
20,SMG duct,1274,0.4622496148,0.5496183206,583375,295,914,360,2,"['GLYATL2', 'DMBT1']","['MIA', 'MMP7', 'GLYATL2', 'CCL28', 'DMBT1', 'PIP', 'LTF', 'TCN1', 'RARRES1', 'AZGP1']",0hpgqdq77iij
21,AT2 proliferating,976,0.6102071006,0.7638888889,583866,102,646,330,3,"['PEG10', 'PRC1', 'TOP2A']","['PEG10', 'PCLAF', 'PRC1', 'TK1', 'TOP2A', 'TYMS', 'BIRC5', 'UBE2C', 'RRM2', 'NUSAP1']",ep6y2yw0r7la
22,AT2,61429,0.9519592613,0.9550651027,520799,2716,3702,57727,1,['SFTPA1'],"['PLA2G1B', 'LRRK2', 'ABCA3', 'PGC', 'PEBP4', 'SFTPA1', 'SFTPA2', 'SFTPD', 'LAMP3', 'NAPSA']",0rj7u3sxnz7x
