,clusterName,clusterSize,f_score,precision,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,uuid
28,Mucous cell,1113,0.9529860229,0.9554140127,346808,49,63,1050,1,['BPIFB2'],"['BPIFB2', 'NKX3-1', 'TFF1', 'CGREF1', 'ENTPD8', 'B3GNT6', 'GLYATL2', 'MUC5B', 'DEFB1', 'TCN1']",qex4h7jddqmg
29,Myoepithelial cell,669,0.8484848485,0.9864498645,347296,5,305,364,2,"['SFRP1', 'MIA']","['SFRP1', 'KRT14', 'COL17A1', 'KRT23', 'CXCL14', 'MIA', 'ACTG2', 'CNN1', 'KRT17', 'SAA1']",k6dv2i1cw19e
30,Natural killer cell,8853,0.88121085,0.9411230513,338728,389,2635,6218,2,"['KLRB1', 'GNLY']","['KLRF1', 'SPON2', 'FGFBP2', 'KLRB1', 'GNLY', 'KLRD1', 'NKG7', 'CD7', 'PRF1', 'GZMA']",z1ululpyrgxa
31,Neutrophil,246,0.8130841121,0.8446601942,347692,32,72,174,1,['FCGR3B'],"['FCGR3B', 'CMTM2', 'CXCR2', 'MMP9', 'VNN2', 'GCA', 'S100A8', 'FPR1', 'BCL2A1', 'EVI2B']",er019v7vr0kh
32,Patrolling monocyte,2189,0.5066480056,0.5843422115,345266,515,1465,724,2,"['LILRB2', 'POU2F2']","['LILRB2', 'POU2F2', 'LILRA5', 'LILRB1', 'SMIM25', 'FCN1', 'TCF7L2', 'MTSS1', 'FCGR3A', 'LST1']",vrpv1k4wxvdz
33,Plasma cell,2181,0.8243434674,0.8650657519,345553,236,668,1513,1,['MZB1'],"['FCRL5', 'POU2AF1', 'IGHA1', 'TENT5C', 'TXNDC5', 'MZB1', 'JCHAIN', 'CREB3L2', 'DERL3', 'FBXW7']",btu17l69tc7i
34,Pericyte,2510,0.8564308291,0.9860041987,345440,20,1101,1409,2,"['HIGD1B', 'KCNK3']","['HIGD1B', 'KCNK3', 'LAMC3', 'NDUFA4L2', 'EGFL6', 'FAM162B', 'RGN', 'PTN', 'MEST', 'COL4A1']",k0d7ly0ghze3
35,Plasmacytoid DC,236,0.7711038961,1.0,347734,0,141,95,2,"['LILRA4', 'SCT']","['LILRA4', 'PLD4', 'IRF7', 'SCT', 'CLEC4C', 'MAP1A', 'IRF8', 'PTCRA', 'CXCR3', 'MZB1']",qb2hdd22pf2u
36,Respiratory airway secretory cell,4257,0.8702944465,0.9003029468,343351,362,988,3269,2,"['SCGB3A2', 'SFTPB']","['SCGB3A2', 'SFTPA1', 'SFTPA2', 'SFTA2', 'SFTPB', 'SCGB1A1', 'KLK11', 'RNASE1', 'SFTPC', 'PIGR']",eqvf9i04pyai
37,Pulmonary neuroendocrine cell,1155,0.9774164408,0.9881278539,346802,13,73,1082,2,"['GRP', 'CHGA']","['GRP', 'CHGA', 'SCG5', 'SCGN', 'GP2', 'SCG2', 'CALCA', 'SCG3', 'PHGR1', 'RPRM']",co82jde4wn60
38,Secondary crest myofibroblast,953,0.5220620358,0.7155688623,346922,95,714,239,2,"['ASPN', 'ITGBL1']","['ASPN', 'LTBP2', 'ITGBL1', 'LTBP1', 'COL1A1', 'COL3A1', 'CFH', 'ACTA2', 'TAGLN', 'DCN']",io9u5mv64ogy
39,Secretory cell,2699,0.5687764318,0.5641663704,344045,1226,1112,1587,2,"['TMEM45A', 'SCGB1A1']","['TMEM45A', 'MMP7', 'CYP2F1', 'SFTPB', 'SCGB3A2', 'SCGB1A1', 'CP', 'SAA1', 'LTF', 'TSPAN8']",nvszq7q0y58c
40,SMG Basal/Duct cell,1009,0.6312148725,0.8957055215,346927,34,717,292,2,"['FOXQ1', 'MMP7']","['FOXQ1', 'MMP7', 'ANPEP', 'CFB', 'DEFB1', 'CCL28', 'PROM1', 'TCN1', 'MIA', 'RARRES1']",zge1c6vyhdv5
41,Serous cell,4333,0.8370740343,0.9223267154,343414,223,1685,2648,1,['PRB3'],"['LPO', 'C6orf58', 'DMBT1', 'PRB3', 'AC020656.1', 'PRB4', 'PIP', 'S100A1', 'SERPINA3', 'LTF']",eameb7dzmakx
42,T regulatory cell,252,0.6066176471,0.904109589,347711,7,186,66,2,"['FOXP3', 'CTLA4']","['FOXP3', 'IL2RA', 'CTLA4', 'LINC01943', 'TIGIT', 'TRAF3', 'ICOS', 'BATF', 'DUSP16', 'LTB']",k9aojfjcl1ie
43,Systemic venous endothelial cell,4609,0.7117082534,0.8811787072,343111,250,2755,1854,2,"['PLVAP', 'CD34']","['PLVAP', 'CD34', 'ADGRL4', 'NRN1', 'DIPK2B', 'ACKR1', 'SNCG', 'VWF', 'DUSP23', 'EPAS1']",f9cjyhfw4r2a
44,Tuft cell,88,0.7627118644,0.972972973,347881,1,52,36,3,"['NREP', 'POU2F3', 'RASSF6']","['NREP', 'IL23A', 'POU2F3', 'MEX3A', 'RASSF6', 'FOXI1', 'HEPACAM2', 'HES6', 'CRYM', 'KIT']",qlcfuqqmwyij
45,Suprabasal cell,20167,0.7825585586,0.8826207121,326359,1444,9309,10858,2,"['CLCA2', 'UPK1B']","['CLCA2', 'LY6D', 'SERPINB13', 'SERPINB4', 'GPX2', 'UPK1B', 'SERPINB5', 'ADH7', 'SERPINB3', 'RHOV']",jlv0az78tvlk
46,Vascular smooth muscle cell,2916,0.7916817034,0.8594515181,344767,287,1161,1755,2,"['PLN', 'MYH11']","['RERGL', 'PLN', 'DES', 'LMOD1', 'MYH11', 'ACTG2', 'CNN1', 'PLAC9', 'ACTA2', 'TAGLN']",jao0z275ho7b
47,Venous endothelial cell,4776,0.6774635036,0.8510028653,342882,312,2994,1782,2,"['CCL23', 'SRPX']","['PLA1A', 'CCL23', 'ADGRG6', 'SELP', 'IL1R1', 'SRPX', 'ACKR1', 'MMRN1', 'C7', 'PTPRB']",84gghqe798y4
