,external_gene_name,ensembl_gene_id,entrezgene_id
169,RNA5-8SN5,ENSG00000274917,124907594
170,RNA5-8SN5,ENSG00000274917,124907595
171,RNA5-8SN5,ENSG00000274917,124907596
172,RNA5-8SN5,ENSG00000274917,124907597
173,RNA5-8SN5,ENSG00000274917,124907598
174,RNA5-8SN5,ENSG00000274917,124907600
175,RNA5-8SN5,ENSG00000274917,124907611
176,RNA5-8SN5,ENSG00000274917,124907622
177,RNA5-8SN5,ENSG00000274917,124907633
178,RNA5-8SN5,ENSG00000274917,124907644
179,RNA5-8SN5,ENSG00000274917,124907655
180,RNA5-8SN5,ENSG00000274917,124907662
181,RNA5-8SN5,ENSG00000274917,124907673
182,RNA5-8SN5,ENSG00000274917,124907684
183,RNA5-8SN5,ENSG00000274917,124907694
184,RNA5-8SN5,ENSG00000274917,124907705
185,RNA5-8SN5,ENSG00000274917,124907709
186,RNA5-8SN5,ENSG00000274917,124907710
187,RNA5-8SN5,ENSG00000274917,124907711
188,RNA5-8SN5,ENSG00000274917,124907712
189,RNA5-8SN5,ENSG00000274917,124907713
190,RNA5-8SN5,ENSG00000274917,124907714
191,RNA5-8SN5,ENSG00000274917,124907715
192,RNA5-8SN5,ENSG00000274917,124907716
193,RNA5-8SN5,ENSG00000274917,124907717
194,RNA5-8SN5,ENSG00000274917,124907718
195,RNA5-8SN5,ENSG00000274917,124907719
196,RNA5-8SN5,ENSG00000274917,124907720
197,RNA5-8SN5,ENSG00000274917,124907721
198,RNA5-8SN5,ENSG00000274917,124908237
199,RNA5-8SN5,ENSG00000274917,124908238
200,RNA5-8SN5,ENSG00000274917,124908239
201,RNA5-8SN5,ENSG00000274917,124908240
202,RNA5-8SN5,ENSG00000274917,124908241
203,RNA5-8SN5,ENSG00000274917,124908242
204,RNA5-8SN5,ENSG00000274917,124908243
205,RNA5-8SN5,ENSG00000274917,124908244
206,RNA5-8SN5,ENSG00000274917,124908245
207,RNA5-8SN5,ENSG00000274917,124908246
208,RNA5-8SN5,ENSG00000274917,124908247
209,RNA5-8SN5,ENSG00000274917,124908248
210,RNA5-8SN5,ENSG00000274917,124908249
211,RNA5-8SN5,ENSG00000274917,124908257
212,RNA5-8SN5,ENSG00000274917,124908268
213,RNA5-8SN5,ENSG00000274917,124908278
214,RNA5-8SN5,ENSG00000274917,124908289
215,RNA5-8SN5,ENSG00000274917,124908300
216,RNA5-8SN5,ENSG00000274917,124908310
217,RNA5-8SN5,ENSG00000274917,124908316
218,RNA5-8SN5,ENSG00000274917,124908327
219,RNA5-8SN5,ENSG00000274917,124908336
220,RNA5-8SN5,ENSG00000274917,124908347
221,RNA5-8SN5,ENSG00000274917,124908358
222,RNA5-8SN5,ENSG00000274917,124908368
223,RNA5-8SN5,ENSG00000274917,124908369
224,RNA5-8SN5,ENSG00000274917,124908370
225,RNA5-8SN5,ENSG00000274917,124908371
226,RNA5-8SN5,ENSG00000274917,124908372
227,RNA5-8SN5,ENSG00000274917,124908373
228,RNA5-8SN5,ENSG00000274917,124908374
229,RNA5-8SN5,ENSG00000274917,124908375
230,RNA5-8SN5,ENSG00000274917,124908376
231,RNA5-8SN5,ENSG00000274917,124908377
232,RNA5-8SN5,ENSG00000274917,124908378
233,RNA5-8SN5,ENSG00000274917,124908379
234,RNA5-8SN5,ENSG00000274917,124908380
235,RNA5-8SN5,ENSG00000274917,124908381
236,RNA5-8SN5,ENSG00000274917,124908382
237,RNA5-8SN5,ENSG00000274917,124908383
238,RNA5-8SN5,ENSG00000274917,124908384
239,RNA5-8SN5,ENSG00000274917,124908385
240,RNA5-8SN5,ENSG00000274917,124908386
241,RNA5-8SN5,ENSG00000274917,124908387
242,RNA5-8SN5,ENSG00000274917,124908388
243,RNA5-8SN5,ENSG00000274917,124908389
244,RNA5-8SN5,ENSG00000274917,124908390
245,RNA5-8SN5,ENSG00000274917,124908391
246,RNA5-8SN5,ENSG00000274917,124908392
247,RNA5-8SN5,ENSG00000274917,124908393
248,RNA5-8SN5,ENSG00000274917,124908474
249,RNA5-8SN5,ENSG00000274917,124908494
250,RNA5-8SN5,ENSG00000274917,124908504
251,RNA5-8SN5,ENSG00000274917,124908512
252,RNA5-8SN5,ENSG00000274917,124908513
253,RNA5-8SN5,ENSG00000274917,124908514
254,RNA5-8SN5,ENSG00000274917,124908515
255,RNA5-8SN5,ENSG00000274917,124908516
256,RNA5-8SN5,ENSG00000274917,124908517
257,RNA5-8SN5,ENSG00000274917,124908518
258,RNA5-8SN5,ENSG00000274917,124908519
259,RNA5-8SN5,ENSG00000274917,124908520
260,RNA5-8SN5,ENSG00000274917,124908521
261,RNA5-8SN5,ENSG00000274917,124908522
262,RNA5-8SN5,ENSG00000274917,124908523
263,RNA5-8SN5,ENSG00000274917,124908524
264,RNA5-8SN5,ENSG00000274917,124908525
265,RNA5-8SN5,ENSG00000274917,124908527
269,5_8S_rRNA,ENSG00000273730,124907114
270,5_8S_rRNA,ENSG00000273730,124907115
271,5_8S_rRNA,ENSG00000273730,124907116
272,5_8S_rRNA,ENSG00000273730,124907117
273,5_8S_rRNA,ENSG00000273730,124907118
274,5_8S_rRNA,ENSG00000273730,124907119
275,5_8S_rRNA,ENSG00000273730,124907120
276,5_8S_rRNA,ENSG00000273730,124907121
277,5_8S_rRNA,ENSG00000273730,124907122
278,5_8S_rRNA,ENSG00000273730,124907123
279,5_8S_rRNA,ENSG00000273730,124907124
280,5_8S_rRNA,ENSG00000273730,124907125
281,5_8S_rRNA,ENSG00000273730,124907126
282,5_8S_rRNA,ENSG00000273730,124907127
283,5_8S_rRNA,ENSG00000273730,124907128
284,5_8S_rRNA,ENSG00000273730,124907129
285,5_8S_rRNA,ENSG00000273730,124907130
286,5_8S_rRNA,ENSG00000273730,124907131
287,5_8S_rRNA,ENSG00000273730,124907132
288,5_8S_rRNA,ENSG00000273730,124907133
289,5_8S_rRNA,ENSG00000273730,124907134
290,5_8S_rRNA,ENSG00000273730,124907135
291,5_8S_rRNA,ENSG00000273730,124907136
292,5_8S_rRNA,ENSG00000273730,124907137
293,5_8S_rRNA,ENSG00000273730,124907138
294,5_8S_rRNA,ENSG00000273730,124907139
295,5_8S_rRNA,ENSG00000273730,124907140
296,5_8S_rRNA,ENSG00000273730,124907141
297,5_8S_rRNA,ENSG00000273730,124907142
298,5_8S_rRNA,ENSG00000273730,124907143
299,5_8S_rRNA,ENSG00000273730,124907144
300,5_8S_rRNA,ENSG00000273730,124907145
301,5_8S_rRNA,ENSG00000273730,124907146
302,5_8S_rRNA,ENSG00000273730,124907147
303,5_8S_rRNA,ENSG00000273730,124907148
304,5_8S_rRNA,ENSG00000273730,124907149
305,5_8S_rRNA,ENSG00000273730,124907150
306,5_8S_rRNA,ENSG00000273730,124907151
307,5_8S_rRNA,ENSG00000273730,124907152
308,5_8S_rRNA,ENSG00000273730,124907153
309,5_8S_rRNA,ENSG00000273730,124907154
310,5_8S_rRNA,ENSG00000273730,124907155
311,5_8S_rRNA,ENSG00000273730,124907160
312,5_8S_rRNA,ENSG00000273730,124907172
313,5_8S_rRNA,ENSG00000273730,124907183
314,5_8S_rRNA,ENSG00000273730,124907194
315,5_8S_rRNA,ENSG00000273730,124907205
316,5_8S_rRNA,ENSG00000273730,124907216
