obo_id,label,level
UBERON:0002113,kidney,root
UBERON:8920012,segmental renal vein,descendant
UBERON:8920011,stellate vein of kidney,descendant
UBERON:8920009,posterior segmental renal artery,descendant
UBERON:8920008,inferior segmental renal artery,descendant
UBERON:8920007,anterior inferior segmental renal artery,descendant
UBERON:8920006,anterior superior segmental renal artery,descendant
UBERON:8920005,superior segmental renal artery,descendant
UBERON:8920004,segmental renal artery,descendant
UBERON:8410073,medullary region of kidney,descendant
UBERON:7770009,kidney interpolar region,descendant
UBERON:0035762,capillary network of kidney,descendant
UBERON:0035758,peritubular capillary plexus of kidney,descendant
UBERON:0035471,posterior surface of kidney,descendant
UBERON:0035368,anterior surface of kidney,descendant
UBERON:0014464,renal fat pad,descendant
UBERON:0014401,renal venous blood vessel,descendant
UBERON:0010181,straight venules of kidney,descendant
UBERON:0010532,primitive nephron,descendant
UBERON:0009917,kidney corticomedullary boundary,descendant
UBERON:0009914,renal lobule,descendant
UBERON:0009913,renal lobe,descendant
UBERON:0009201,nephric duct,descendant
UBERON:0008716,hilum of kidney,descendant
UBERON:0007684,uriniferous tubule,descendant
UBERON:0007132,head kidney,descendant
UBERON:0008987,renal parenchyma,descendant
UBERON:0006553,renal duct,descendant
UBERON:0006544,kidney vasculature,descendant
UBERON:0006171,renal sinus,descendant
UBERON:0005215,kidney interstitium,descendant
UBERON:0004819,kidney epithelium,descendant
UBERON:0004538,left kidney,descendant
UBERON:0004539,right kidney,descendant
UBERON:0004100,renal collecting system,descendant
UBERON:0003644,kidney arterial blood vessel,descendant
UBERON:0003527,kidney capillary,descendant
UBERON:0003517,kidney blood vessel,descendant
UBERON:0002120,pronephros,descendant
UBERON:0002015,kidney capsule,descendant
UBERON:0001294,inner medulla of kidney,descendant
UBERON:0001225,cortex of kidney,descendant
UBERON:0001224,renal pelvis,descendant
UBERON:0000362,renal medulla,descendant
UBERON:0000082,adult mammalian kidney,descendant
UBERON:0000081,metanephros,descendant
UBERON:0000080,mesonephros,descendant
UBERON:0001293,outer medulla of kidney,descendant
UBERON:0001284,renal column,descendant
UBERON:0005269,renal cortex vein,descendant
UBERON:0005168,renal interlobular vein,descendant
UBERON:0004719,kidney arcuate vein,descendant
UBERON:0010535,primitive metanephric nephron,descendant
UBERON:0010534,primitive mesonephric nephron,descendant
UBERON:0007654,maturing nephron,descendant
UBERON:0007653,capillary loop nephron,descendant
UBERON:0004199,S-shaped body,descendant
UBERON:0004198,comma-shaped body,descendant
UBERON:0003074,mesonephric duct,descendant
UBERON:0003060,pronephric duct,descendant
UBERON:0001285,nephron,descendant
UBERON:0001232,collecting duct of renal tubule,descendant
UBERON:0001229,renal corpuscle,descendant
UBERON:0006856,interrenal gland,descendant
UBERON:3010394,mesonephric late proximal tubule,descendant
UBERON:3010392,mesonephric early proximal tubule,descendant
UBERON:2005292,distal late tubule,descendant
UBERON:2002225,posterior pronephric duct,descendant
UBERON:0034884,juxtaglomerular arteriole,descendant
UBERON:0004726,vasa recta,descendant
UBERON:0004190,renal glomerulus vasculature,descendant
UBERON:0006196,mesonephric sinus,descendant
UBERON:0006195,renal sinus of left kidney,descendant
UBERON:0006194,renal sinus of right kidney,descendant
UBERON:0006174,pronephric sinus,descendant
UBERON:0018114,right kidney interstitium,descendant
UBERON:0018113,left kidney interstitium,descendant
UBERON:0006373,perihilar interstitium,descendant
UBERON:0005270,renal cortex interstitium,descendant
UBERON:0005211,renal medulla interstitium,descendant
UBERON:0002319,mesangium,descendant
UBERON:0012441,endothelium of peritubular capillary,descendant
UBERON:0005108,metanephric epithelium,descendant
UBERON:0005103,mesonephric epithelium,descendant
UBERON:0004788,kidney pelvis urothelium,descendant
UBERON:0004211,nephron epithelium,descendant
UBERON:0018119,left renal medulla interstitium,descendant
UBERON:0018117,left renal cortex interstitium,descendant
UBERON:0018120,right renal medulla interstitium,descendant
UBERON:0018118,right renal cortex interstitium,descendant
UBERON:0005268,renal cortex artery,descendant
UBERON:0004723,interlobular artery,descendant
UBERON:0004640,renal efferent arteriole,descendant
UBERON:0004639,renal afferent arteriole,descendant
UBERON:0001552,kidney arcuate artery,descendant
UBERON:0005272,peritubular capillary,descendant
UBERON:0004212,glomerular capillary,descendant
UBERON:0009622,pronephric proximal straight tubule,descendant
